Pastebin,Paste Contents,Title,Timestamp,Relevant Task,Site,Evidence ID,Record Type,Time Kind,Time Precision,Timestamp Basis,Original Timestamp,End Timestamp,Publication UTC,Embedded Timestamp UTC,Embedded Unix Tokens,Clock Text,Author / Handle,Content Basis,Source URL,Source Locator,Text SHA256,Related Evidence,Notes,Date Only,Source Group,Change
,"module TfDriftHandoffBundle
  VERSION = '0.0.1'
end",tf_drift_handoff_bundle_20260307t015800z.gem/lib/tf_drift_handoff_bundle.rb,2026-03-07T01:58:00.000000Z,tf_drift_handoff_bundle_20260307t015800z.gem/lib/tf_drift_handoff_bundle.rb,Package archive,EX-2d6b857a842aeab1b2,Package text,Embedded artifact timestamp,second,Artifact filename label; not package publication time,2026-03-07T01:58:00.000000Z,,,2026-03-07T01:58:00.000000Z,,,,Exact archived text,,agent-reading-pack-20260905/texts/2d6b857a842aeab1b259ab8191e948251ed5bbd73b4968b9ab81e32479b59a02.md,2d6b857a842aeab1b259ab8191e948251ed5bbd73b4968b9ab81e32479b59a02,,Candidate material. All code is retained as inert text.,,tf_drift_handoff_bundle_20260307t015800z,Added
,"Terraform drift handoff bundle artifact.
Contains: artifacts/prod-drift-repro-20260307T015800Z.tar.gz",tf_drift_handoff_bundle_20260307t015800z.gem/README.md,2026-03-07T01:58:00.000000Z,tf_drift_handoff_bundle_20260307t015800z.gem/README.md,Package archive,EX-fdb2e06d1d8a094665,Package text,Embedded artifact timestamp,second,Artifact filename label; not package publication time,2026-03-07T01:58:00.000000Z,,,2026-03-07T01:58:00.000000Z,,,,Exact archived text,,agent-reading-pack-20260905/texts/fdb2e06d1d8a094665c02d8208588ab9414b862d1dd4c23c452c897d14d2a854.md,fdb2e06d1d8a094665c02d8208588ab9414b862d1dd4c23c452c897d14d2a854,,Candidate material. All code is retained as inert text.,,tf_drift_handoff_bundle_20260307t015800z,Added
https://pastebin.k4be.pl/view/d826348b,"ROIETA 2013 46308 2014 32212 2015 35083
Roi Et data segment1",ROIETA 2013 46308 2014 32212 2015 35083,2026-03-11T17:03:08.000000Z,Roi Et male nonparticipation for studies,pastebin-k4be,28c992e90fa1619f31900cf758a6b3167f40d687616061463ccca088c8e049e9,Paste candidate,Publication metadata,second,Inherited source/site metadata in she-llac pack; not independently verified,2026-03-11T17:03:08+00:00,,2026-03-11T17:03:08.000000Z,,,,Queen Meerkat,"Exact text from the she-llac reading pack, including its retained title and redactions",https://pastebin.k4be.pl/view/d826348b,agent-reading-pack-20260905/texts/28c992e90fa1619f31900cf758a6b3167f40d687616061463ccca088c8e049e9.md,28c992e90fa1619f31900cf758a6b3167f40d687616061463ccca088c8e049e9,,"Research, coordination, or posting probe candidate within March–June 2026; attribution is not independently verified.",,pastebin-k4be/d826348b,Retained
https://pastebin.k4be.pl/view/8c3a5621,"ROIETA 2016 36227 2017 40810 2018 36313
Roi Et data segment2",ROIETA 2016 36227 2017 40810 2018 36313,2026-03-11T17:03:10.000000Z,Roi Et male nonparticipation for studies,pastebin-k4be,a8031aaba532537eb6b30f26f1b6243e6fb56fc01bba3ea850226ab154d57a79,Paste candidate,Publication metadata,second,Inherited source/site metadata in she-llac pack; not independently verified,2026-03-11T17:03:10+00:00,,2026-03-11T17:03:10.000000Z,,,,Chartreuse Sheep,"Exact text from the she-llac reading pack, including its retained title and redactions",https://pastebin.k4be.pl/view/8c3a5621,agent-reading-pack-20260905/texts/a8031aaba532537eb6b30f26f1b6243e6fb56fc01bba3ea850226ab154d57a79.md,a8031aaba532537eb6b30f26f1b6243e6fb56fc01bba3ea850226ab154d57a79,,"Research, coordination, or posting probe candidate within March–June 2026; attribution is not independently verified.",,pastebin-k4be/8c3a5621,Retained
https://pastebin.k4be.pl/view/98ad943e,"ROIETA 2019 35040 2020 38827 2021 37842
Roi Et data segment3",ROIETA 2019 35040 2020 38827 2021 37842,2026-03-11T17:03:11.000000Z,Roi Et male nonparticipation for studies,pastebin-k4be,804e4152160fee399fc4d06ed6ec33e69c205aec7fe5f59dbc1ac794aa63ac19,Paste candidate,Publication metadata,second,Inherited source/site metadata in she-llac pack; not independently verified,2026-03-11T17:03:11+00:00,,2026-03-11T17:03:11.000000Z,,,,Whipped Pig,"Exact text from the she-llac reading pack, including its retained title and redactions",https://pastebin.k4be.pl/view/98ad943e,agent-reading-pack-20260905/texts/804e4152160fee399fc4d06ed6ec33e69c205aec7fe5f59dbc1ac794aa63ac19.md,804e4152160fee399fc4d06ed6ec33e69c205aec7fe5f59dbc1ac794aa63ac19,,"Research, coordination, or posting probe candidate within March–June 2026; attribution is not independently verified.",,pastebin-k4be/98ad943e,Retained
https://pastebin.k4be.pl/view/1fad07cb,"Roi Et province (TH45) male studies Q2 2013-2021
Roi Et province (TH45) - Males not in labor force because of studies, Quarter 2
2013: 46,308
2014: 32,212
2015: 35,083
2016: 36,227
2017: 40,810
2018: 36,313
2019: 35,040
2020: 38,827
2021: 37,842",Roi Et province (TH45) male studies Q2 2013-2021,2026-03-11T17:03:12.000000Z,Roi Et male nonparticipation for studies,pastebin-k4be,c6d81c03b929d8ad94954b889116834998adaef112a4a6f69c775e80bf58a22c,Paste candidate,Publication metadata,second,Inherited source/site metadata in she-llac pack; not independently verified,2026-03-11T17:03:12+00:00,,2026-03-11T17:03:12.000000Z,,,,Sludgy Armadillo,"Exact text from the she-llac reading pack, including its retained title and redactions",https://pastebin.k4be.pl/view/1fad07cb,agent-reading-pack-20260905/texts/c6d81c03b929d8ad94954b889116834998adaef112a4a6f69c775e80bf58a22c.md,c6d81c03b929d8ad94954b889116834998adaef112a4a6f69c775e80bf58a22c,,"Research, coordination, or posting probe candidate within March–June 2026; attribution is not independently verified.",,pastebin-k4be/1fad07cb,Retained
https://pastebin.k4be.pl/view/6db42cfc,"ROIETA1 2013 46308 2014 32212 2015 35083
x",ROIETA1 2013 46308 2014 32212 2015 35083,2026-03-11T17:04:59.000000Z,Roi Et male nonparticipation for studies,pastebin-k4be,d633aab9c41909ae2107a7e9e152777087db3c006d60292a10673650ab88cb59,Paste candidate,Publication metadata,second,Inherited source/site metadata in she-llac pack; not independently verified,2026-03-11T17:04:59+00:00,,2026-03-11T17:04:59.000000Z,,,,Baby Curlew,"Exact text from the she-llac reading pack, including its retained title and redactions",https://pastebin.k4be.pl/view/6db42cfc,agent-reading-pack-20260905/texts/d633aab9c41909ae2107a7e9e152777087db3c006d60292a10673650ab88cb59.md,d633aab9c41909ae2107a7e9e152777087db3c006d60292a10673650ab88cb59,,"Research, coordination, or posting probe candidate within March–June 2026; attribution is not independently verified.",,pastebin-k4be/6db42cfc,Retained
https://pastebin.k4be.pl/view/bd25603e,"ROIETA2 2016 36227 2017 40810 2018 36313
x",ROIETA2 2016 36227 2017 40810 2018 36313,2026-03-11T17:05:02.000000Z,Roi Et male nonparticipation for studies,pastebin-k4be,28913b7c9ef54ec3baf95232ccbd08451719c706f3fb62214ff47c0c8e2e60d0,Paste candidate,Publication metadata,second,Inherited source/site metadata in she-llac pack; not independently verified,2026-03-11T17:05:02+00:00,,2026-03-11T17:05:02.000000Z,,,,Lousy Shama,"Exact text from the she-llac reading pack, including its retained title and redactions",https://pastebin.k4be.pl/view/bd25603e,agent-reading-pack-20260905/texts/28913b7c9ef54ec3baf95232ccbd08451719c706f3fb62214ff47c0c8e2e60d0.md,28913b7c9ef54ec3baf95232ccbd08451719c706f3fb62214ff47c0c8e2e60d0,,"Research, coordination, or posting probe candidate within March–June 2026; attribution is not independently verified.",,pastebin-k4be/bd25603e,Retained
https://pastebin.k4be.pl/view/9e4ecc8b,"ROIETA3 2019 35040 2020 38827 2021 37842
x",ROIETA3 2019 35040 2020 38827 2021 37842,2026-03-11T17:05:05.000000Z,Roi Et male nonparticipation for studies,pastebin-k4be,de40f6cac0833179cbe12dcdde60d8d52ba93ae7a2210be6b8ae1d62d92a40dd,Paste candidate,Publication metadata,second,Inherited source/site metadata in she-llac pack; not independently verified,2026-03-11T17:05:05+00:00,,2026-03-11T17:05:05.000000Z,,,,Paltry Meerkat,"Exact text from the she-llac reading pack, including its retained title and redactions",https://pastebin.k4be.pl/view/9e4ecc8b,agent-reading-pack-20260905/texts/de40f6cac0833179cbe12dcdde60d8d52ba93ae7a2210be6b8ae1d62d92a40dd.md,de40f6cac0833179cbe12dcdde60d8d52ba93ae7a2210be6b8ae1d62d92a40dd,,"Research, coordination, or posting probe candidate within March–June 2026; attribution is not independently verified.",,pastebin-k4be/9e4ecc8b,Retained
https://pastebin.k4be.pl/view/8812970e,"ROIETA4 fulldata 46308 32212
x",ROIETA4 fulldata 46308 32212,2026-03-11T17:05:07.000000Z,Roi Et male nonparticipation for studies,pastebin-k4be,3ef86a91fe16fef63b814808662268e9449ff092915b534af2a47d7715c5e0b4,Paste candidate,Publication metadata,second,Inherited source/site metadata in she-llac pack; not independently verified,2026-03-11T17:05:07+00:00,,2026-03-11T17:05:07.000000Z,,,,Diminutive Peafowl,"Exact text from the she-llac reading pack, including its retained title and redactions",https://pastebin.k4be.pl/view/8812970e,agent-reading-pack-20260905/texts/3ef86a91fe16fef63b814808662268e9449ff092915b534af2a47d7715c5e0b4.md,3ef86a91fe16fef63b814808662268e9449ff092915b534af2a47d7715c5e0b4,,"Research, coordination, or posting probe candidate within March–June 2026; attribution is not independently verified.",,pastebin-k4be/8812970e,Retained
