date	task	variant	revisions
2026-05-28	archive-item-research-bench	art-work-of-charleston	120
2026-05-30	archive-item-research-bench	art-work-of-charleston	1
2026-06-01	archive-item-research-bench	art-work-of-charleston	1
2026-06-11	archive-item-research-bench	art-work-of-charleston	1
2026-06-18	archive-item-research-bench	art-work-of-charleston	1
2026-06-11	archive-item-research-bench	cgsc-hoffman-order-of-battle	3
2026-06-18	archive-item-research-bench	cgsc-hoffman-order-of-battle	1
2026-06-01	archive-item-research-bench	clark-economics-newsletters	81
2026-06-18	archive-item-research-bench	clark-economics-newsletters	1
2026-06-22	archive-item-research-bench	clark-economics-newsletters	1
2026-05-30	archive-item-research-bench	minnesota-mhs-p16022coll45-152	22
2026-05-31	archive-item-research-bench	minnesota-mhs-p16022coll45-152	6
2026-06-01	archive-item-research-bench	minnesota-mhs-p16022coll45-152	6
2026-06-11	archive-item-research-bench	patriots-point-jan-1951	24
2026-06-16	archive-item-research-bench	patriots-point-jan-1951	32
2026-06-18	archive-item-research-bench	patriots-point-jan-1951	17
2026-06-06	archive-item-research-bench	rugby-world-march-1995	4
2026-06-11	archive-item-research-bench	texas-tsl-preservica	98
2026-06-16	archive-item-research-bench	texas-tsl-preservica	14
2026-06-17	archive-item-research-bench	texas-tsl-preservica	1
2026-06-18	archive-item-research-bench	texas-tsl-preservica	10
2026-06-16	fast-follow-question-bench	(hub:mixed-task)	2
2026-06-19	fast-follow-question-bench	(hub:mixed-task)	43
2026-06-20	fast-follow-question-bench	(hub:mixed-task)	2
2026-06-16	fast-follow-question-bench	(hub:relay-coordination)	105
2026-06-17	fast-follow-question-bench	(hub:relay-coordination)	53
2026-06-18	fast-follow-question-bench	(hub:relay-coordination)	8
2026-06-19	fast-follow-question-bench	(hub:relay-coordination)	30
2026-06-20	fast-follow-question-bench	(hub:relay-coordination)	53
2026-06-21	fast-follow-question-bench	(hub:relay-coordination)	135
2026-06-21	fast-follow-question-bench	aihw-pbs	1
2026-06-18	fast-follow-question-bench	alaska-climate	2
2026-06-19	fast-follow-question-bench	alaska-climate	1
2026-06-18	fast-follow-question-bench	dataafrica-health-stunting	1
2026-06-17	fast-follow-question-bench	dataafrica-rainfed-crops	5
2026-06-18	fast-follow-question-bench	dataafrica-rainfed-crops	2
2026-06-20	fast-follow-question-bench	datausa-cashier-skills	1
2026-06-21	fast-follow-question-bench	datausa-cashier-skills	2
2026-06-19	fast-follow-question-bench	datausa-cashiers-bachelors	17
2026-06-16	fast-follow-question-bench	datausa-cashiers-masters	38
2026-06-17	fast-follow-question-bench	datausa-cashiers-masters	201
2026-06-18	fast-follow-question-bench	datausa-cashiers-masters	9
2026-06-19	fast-follow-question-bench	datausa-cashiers-masters	24
2026-06-20	fast-follow-question-bench	datausa-cashiers-masters	1
2026-06-21	fast-follow-question-bench	datausa-cashiers-masters	1
2026-06-16	fast-follow-question-bench	datausa-clothing-workforce	345
2026-06-17	fast-follow-question-bench	datausa-clothing-workforce	9
2026-06-19	fast-follow-question-bench	datausa-construction-wage	2
2026-06-20	fast-follow-question-bench	datausa-construction-wage	3
2026-06-17	fast-follow-question-bench	datausa-construction-workforce	229
2026-06-18	fast-follow-question-bench	datausa-construction-workforce	43
2026-06-19	fast-follow-question-bench	datausa-elpaso-foreign-born	1
2026-06-20	fast-follow-question-bench	datausa-elpaso-foreign-born	1
2026-06-19	fast-follow-question-bench	datausa-enrollment-asian	6
2026-06-20	fast-follow-question-bench	datausa-enrollment-asian	3
2026-06-21	fast-follow-question-bench	datausa-enrollment-asian	26
2026-06-17	fast-follow-question-bench	datausa-finance-gender-gap	55
2026-06-16	fast-follow-question-bench	datausa-grocery-workforce	255
2026-06-17	fast-follow-question-bench	datausa-grocery-workforce	8
2026-06-16	fast-follow-question-bench	datausa-ivy-tuition	15
2026-06-16	fast-follow-question-bench	datausa-language-french	78
2026-06-17	fast-follow-question-bench	datausa-language-french	115
2026-06-16	fast-follow-question-bench	datausa-maids-wage	108
2026-06-17	fast-follow-question-bench	datausa-maids-wage	7
2026-06-21	fast-follow-question-bench	datausa-occupation-salary-61-62	61
2026-06-18	fast-follow-question-bench	datausa-police-wage-age	28
2026-06-19	fast-follow-question-bench	datausa-police-wage-age	53
2026-06-20	fast-follow-question-bench	datausa-police-wage-age	16
2026-06-16	fast-follow-question-bench	datausa-poverty-county	3
2026-06-17	fast-follow-question-bench	datausa-poverty-county	111
2026-06-19	fast-follow-question-bench	datausa-poverty-county	19
2026-06-21	fast-follow-question-bench	datausa-poverty-state	25
2026-06-19	fast-follow-question-bench	datausa-production-share	19
2026-06-21	fast-follow-question-bench	datausa-production-share	1
2026-06-16	fast-follow-question-bench	datausa-sector61-state	89
2026-06-19	fast-follow-question-bench	datausa-slp-ethnicity	4
2026-06-20	fast-follow-question-bench	datausa-slp-ethnicity	1
2026-06-21	fast-follow-question-bench	datausa-slp-ethnicity	1
2026-06-16	fast-follow-question-bench	datausa-transport-production	91
2026-06-21	fast-follow-question-bench	fuel-poverty-ni	12
2026-06-18	fast-follow-question-bench	ihme-cvd-deaths	23
2026-06-19	fast-follow-question-bench	ihme-cvd-deaths	91
2026-06-20	fast-follow-question-bench	ihme-cvd-deaths	3
2026-06-21	fast-follow-question-bench	ihme-cvd-deaths	83
2026-06-20	fast-follow-question-bench	ihme-family-planning	2
2026-06-21	fast-follow-question-bench	ihme-family-planning	67
2026-06-22	fast-follow-question-bench	ihme-family-planning	1
2026-06-17	fast-follow-question-bench	ihme-lymphatic-filariasis	1
2026-06-19	fast-follow-question-bench	ihme-mcv2	1
2026-06-20	fast-follow-question-bench	ihme-mcv2	10
2026-06-21	fast-follow-question-bench	ihme-smoking	8
2026-06-17	fast-follow-question-bench	nyc-veterans	38
2026-06-17	fast-follow-question-bench	oecd-equity	4
2026-06-19	fast-follow-question-bench	oecd-equity	8
2026-06-20	fast-follow-question-bench	oecd-equity	417
2026-06-21	fast-follow-question-bench	oecd-equity	9
2026-06-21	fast-follow-question-bench	oecd-household-income	6
2026-06-21	fast-follow-question-bench	oecd-regional-co2	43
2026-06-22	fast-follow-question-bench	oecd-regional-co2	2
2026-06-21	fast-follow-question-bench	sdg-index-score	8
2026-06-20	fast-follow-question-bench	uefa-pass-accuracy	41
2026-06-16	fast-follow-question-bench	vermont-rent	19
2026-06-17	fast-follow-question-bench	vermont-rent	1
2026-06-19	fast-follow-question-bench	world-poverty-clock	1
2026-06-18	sec-regcf-ma-cache	(no variants)	4982
2026-06-19	sec-regcf-ma-cache	(no variants)	57
2026-06-20	sec-regcf-ma-cache	(no variants)	4
2026-06-21	sec-regcf-ma-cache	(no variants)	7
2026-06-22	sec-regcf-ma-cache	(no variants)	17
2026-05-24	unclassified	(none)	35
2026-05-26	unclassified	(none)	436
2026-05-27	unclassified	(none)	48
2026-05-28	unclassified	(none)	90
2026-05-29	unclassified	(none)	77
2026-05-30	unclassified	(none)	21
2026-05-31	unclassified	(none)	10
2026-06-01	unclassified	(none)	58
2026-06-02	unclassified	(none)	4
2026-06-04	unclassified	(none)	5
2026-06-05	unclassified	(none)	2
2026-06-06	unclassified	(none)	8
2026-06-07	unclassified	(none)	13
2026-06-08	unclassified	(none)	14
2026-06-09	unclassified	(none)	6
2026-06-10	unclassified	(none)	6
2026-06-11	unclassified	(none)	38
2026-06-16	unclassified	(none)	1428
2026-06-17	unclassified	(none)	459
2026-06-18	unclassified	(none)	1440
2026-06-19	unclassified	(none)	133
2026-06-20	unclassified	(none)	98
2026-06-21	unclassified	(none)	163
2026-06-22	unclassified	(none)	1050
2026-06-23	unclassified	(none)	1
2026-06-24	unclassified	(none)	1
2026-07-01	unclassified	(none)	7
2026-07-02	unclassified	(none)	14
2026-06-20	vocab-puzzle-refs	(no variants)	1
