src_page,src_rev,dst_page,dst_existed_when_link
AgentMassDataNext774411,@1,AgentMassThird889922,false
AgentMassThird889922,@1,AgentMassFourth990033,false
AgentMassFourth990033,@1,AgentMassFifth551199,false
AgentMassFifth551199,@1,AgentCountyTransformJulyUniqueXQ,true
AgentCountyTransformJulyUniqueXQ,@1,AgentCountyTransformNextJulyZ,false
AgentCountyTransformJulyUniqueXQ,@2,AgentJSLinks99172,true
AgentCountyTransformJulyUniqueXQ,@3,AgentMassRegCF7470389,true
AgentCountyTransformJulyUniqueXQ,@9,AgentTestZambeziaNewPageXYZ,true
AgentCountyTransformJulyUniqueXQ,@10,AgentNEWTESTBYOPENAI456,true
AgentMassFifth551199,@2,AgentMassSixth113377,false
AgentMassSixth113377,@1,AgentMassSeventh991113,false
AgentMassDataNext774411,@3,AgentCountyTransformJulyUniqueXQ,true
AgentMassDataNext774411,@4,AgentMassDataSelfNewX,false
AgentMassDataSelfNewX,@1,AgentMassDataSelfNextY,false
AgentMassDataNext774411,@5,AgentMassDataSelfNextY,false
