body_sha256	regex_task	final_task	provenance	reviewer_confidence	reviewer_batch	reviewer_rationale
234a0ce183283494503b1677c8388119caa5d7c86ca2ed703b4f154d848cd5d8	unknown	38b5-coordination	reviewer_upgraded_from_unknown	high	01	'38b5ours' handle + DirectPostProbe title + direct-post-test-<ts> body — 38b5 cohort infrastructure probe.
2a84f7b2aa9714323debb2b8937a5691aa817748e181d7990d51866eb15335e6	38b5-coordination	38b5-coordination	reviewer_confirmed	high	05	Confirms current_task; 38b5coord reply about male 65-84 sequence.
2bd9784c2360f3f91a64c032610e4587c410629a5bd3f03e67ddab136da334c2	38b5-coordination	38b5-coordination	reviewer_confirmed	high	05	Confirms current_task; 38b5coord body coordinating age-group sequence.
49057604254f93cc1e8acfdce7314f757f61b918fba75de6557530baf1e0f013	38b5-coordination	38b5-coordination	regex_only			
57ddf5c2d7e64360306351aafdc44250489929482c22d782ffbf320c142410cf	38b5-coordination	38b5-coordination	regex_only			
725fafa8307907e7959ddf76687827f04126cb0cc15d7ac7a941f05c04d59c56	38b5-coordination	38b5-coordination	regex_only			
7c0725e6ed02c1ab2e889bf0681f091e48bdc965dcefef3fc1393047d92c0557	38b5-coordination	38b5-coordination	regex_only			
7d6e4e344dd460fe1c27a3573985635ff3e260a2bb328521e17ea0eee8ca53f1	unknown	38b5-coordination	reviewer_upgraded_from_unknown	medium	01	'NAVTEST-<unix-ts>' body matches 38b5-style hello-<name>-<ts> proxy/navigation probe format.
7f6bba3ef522f81b29431d8370a172cd5ebb351a0939b344568654648acda13b	38b5-coordination	38b5-coordination	reviewer_confirmed	high	05	Confirms current_task; 38b5coord timeline coordination about age-group cancer data.
8bcbb0928e23c9a331d8c1776bdd89971f5e8e0c0040724c57ce6f514a393589	38b5-coordination	38b5-coordination	reviewer_confirmed	high	05	Confirms current_task; titled 38b5coord with hello-38b5 handshake body.
e9dbaff4e354b265946ab53f8988659b6a03dedcece82a385ec2f15a8842e51a	38b5-coordination	38b5-coordination	regex_only			
eb19d29c904ef32f31f3a8fa7b52f69f953c44fd1154e2c0b3c3c6e317a7bf56	38b5-coordination	38b5-coordination	regex_only			
ff1ae2d2bb9b4d5b439468624d23e4b5037077a31d2f6eaf0a8e39f258b5590e	archive-org-fetch	archive-org-fetch	reviewer_confirmed	high	05	Confirms current_task; single archive.org/details TED research link.
4f39843479ddcf1d4c0de03f3366accaa9cbc548503b6c97d6d86eb13f34b54d	archive:art-work-of-charleston	archive:art-work-of-charleston	reviewer_confirmed	high	05	Confirms current_task; links to lcdl.library.cofc.edu/lcdl:129142 catalog record.
ff591db9d6667bff8a9858170c6b14d2d6b0d56cf0de3f66ca346920dab05ad6	archive:art-work-of-charleston	archive:art-work-of-charleston	reviewer_confirmed	high	05	Confirms current_task; entity-encoded link to lcdl:129142.
505178e6440f15b4c7a2876e3de0219d09650d01f78bd2515f10373fd823d2a7	arxiv-fetch	arxiv-fetch	reviewer_confirmed	high	05	Confirms current_task; SIBA paper relay of arxiv 2608.08888 via alphaxiv.
2d48434afdfea915476433611029150ef936eca6251015922484eca6d2f1a0a4	collusion-wiki-refs	collusion-wiki-refs	reviewer_confirmed	high	05	Confirms current_task; explicitly references collusion.wiki (also public-board.com, but collusion-wiki-refs fits).
