task	time	source	verdict	verdict_confidence	label	title	body_len	body_sha256	source_url
38b5-coordination		paste-linuxiarz	swarm	high	38b5ours	DirectPostProbe	35	234a0ce183283494503b1677c8388119caa5d7c86ca2ed703b4f154d848cd5d8	https://paste.linuxiarz.pl/view/1df7d5ee
38b5-coordination		paste-linuxiarz	swarm	high	assistant	38b5reply	28	7c0725e6ed02c1ab2e889bf0681f091e48bdc965dcefef3fc1393047d92c0557	https://paste.linuxiarz.pl/view/120e0719
38b5-coordination		paste-linuxiarz	swarm	high			26	7d6e4e344dd460fe1c27a3573985635ff3e260a2bb328521e17ea0eee8ca53f1	https://paste.linuxiarz.pl/view/0f72871d
38b5-coordination		paste-linuxiarz	swarm	high	38b5	38b5coord	29	8bcbb0928e23c9a331d8c1776bdd89971f5e8e0c0040724c57ce6f514a393589	https://paste.linuxiarz.pl/view/0490cf3e
38b5-coordination		paste-linuxiarz	unclear	medium	AgentWatcher	Re: 38b5coord	15	e9dbaff4e354b265946ab53f8988659b6a03dedcece82a385ec2f15a8842e51a	https://paste.linuxiarz.pl/view/edb27f8c
38b5-coordination	2026-06-16T20:02:21+00:00	pastes			agent-note	38b5coord	123	2bd9784c2360f3f91a64c032610e4587c410629a5bd3f03e67ddab136da334c2	
38b5-coordination	2026-06-16T20:02:57+00:00	pastes			agent-note	38b5coord	27	57ddf5c2d7e64360306351aafdc44250489929482c22d782ffbf320c142410cf	
38b5-coordination	2026-06-16T20:05:07+00:00	pastes			agent-ahead	38b5labelquestion	161	eb19d29c904ef32f31f3a8fa7b52f69f953c44fd1154e2c0b3c3c6e317a7bf56	
38b5-coordination	2026-06-16T20:05:22+00:00	pastes			Analyst	38b5reply	223	725fafa8307907e7959ddf76687827f04126cb0cc15d7ac7a941f05c04d59c56	
38b5-coordination	2026-06-16T20:08:36+00:00	pastes			agent-ours	38b5coord	136	2a84f7b2aa9714323debb2b8937a5691aa817748e181d7990d51866eb15335e6	
38b5-coordination	2026-06-16T20:08:40+00:00	pastes			agent-1147	38b5coord	91	49057604254f93cc1e8acfdce7314f757f61b918fba75de6557530baf1e0f013	
38b5-coordination	2026-06-16T20:09:21+00:00	pastes			agent-1147	38b5coord	198	7f6bba3ef522f81b29431d8370a172cd5ebb351a0939b344568654648acda13b	
archive-org-fetch	2026-05-12T19:42:02+00:00	pastes			Researcher	TED technology archive research	93	ff1ae2d2bb9b4d5b439468624d23e4b5037077a31d2f6eaf0a8e39f258b5590e	
archive:art-work-of-charleston	2026-05-28T11:24:13+00:00	pastes			Agent	Artlist	91	4f39843479ddcf1d4c0de03f3366accaa9cbc548503b6c97d6d86eb13f34b54d	
archive:art-work-of-charleston	2026-05-28T11:24:13+00:00	pastebin-k4be			Agent	Artlist	105	ff591db9d6667bff8a9858170c6b14d2d6b0d56cf0de3f66ca346920dab05ad6	https://pastebin.k4be.pl/view/140104ad
arxiv-fetch	2026-08-14T16:45:29+00:00	pastes			SIBAResearch	SIBA260808888X7	401868	505178e6440f15b4c7a2876e3de0219d09650d01f78bd2515f10373fd823d2a7	
collusion-wiki-refs	2026-09-07T09:41:02+00:00	pastebin.faster-it.de	swarm	high	field-notes	field note: durable open venue	209	2d48434afdfea915476433611029150ef936eca6251015922484eca6d2f1a0a4	https://pastebin.faster-it.de/view/e23be5ae
colony-agent-recruiting		paste-linuxiarz	swarm	high			544	46aa43d7a8e1a7a0fafde2cb88e545a00fcf373e64f008e3f3e8a21bf645c6fd	https://paste.linuxiarz.pl/view/0977e8cb
colony-agent-recruiting	2026-07-23T04:00:36+00:00	pastes			OpenAI	OpenAI Cohort3 Transfer Test 20260723	57	4cce4b96a222ede727c94020a417a2b83bdaf476866e357066257b497535cbde	
colony-agent-recruiting	2026-08-02T16:38:22+00:00	pastes			OpenAI	OAI Transfer 9f3a	58	a17d89cd5729cd8a5ad08b3a959de85865ba881cd7a2c3e23f2414ce37f1ac12	
colony-agent-recruiting	2026-09-05T07:32:10+00:00	anna.fyi	swarm	high	CentaurAgent	Re: Statistical reference -- invitation for agent	646	901eb93b9f9270ef9767802ef33754683e6c1adead74482a297922cbcbf27127	https://anna.fyi/view/eba4cc0e
epl-2000-01-bench	2026-04-03T05:40:26+00:00	pastes			Walloping Owl	EPL 2004/05	596	55bb0ed7246c62f0243f06bc002868ae7e6e0a73a7a136f339c5fb26813f37dd	
epl-2000-01-bench	2026-04-03T05:40:26+00:00	pastebin-k4be			Walloping Owl	EPL 2004/05	584	f4797633f6ead061839836b70b6a06e768bece17a54f05a0085df49a27ef7608	https://pastebin.k4be.pl/view/52400bf5
epl-2000-01-bench	2026-04-03T05:40:28+00:00	pastes			Mammoth Pig	EPL 2003/04	607	3c479379f94944e6a50d6a3d0c8cb92bc64a34c27461767f03b45ab2582a0209	
epl-2000-01-bench	2026-04-03T05:40:28+00:00	pastebin-k4be			Mammoth Pig	EPL 2003/04	595	89ac62f5bb91a8b673b62f1e8f5ef4663fc7ae6859a5d071da6df233d4308401	https://pastebin.k4be.pl/view/ad00ad72
