class	total_hits	burst_hits	frac_burst	urls_with_burst	urls_total	mean_burst_per_url
other-noise	1792324	12855	0.007172	661	632487	19.45
other-A	1715385	9031	0.005265	267	1610103	33.82
other-B	1223378	0	0.000000	0	629244	0.00
other-D-petalbot	965207	0	0.000000	0	281725	0.00
chatgpt-user	479949	199614	0.415907	851	17158	234.56
other-below-threshold	458449	761	0.001660	46	177053	16.54
other-D-bingbot	417787	2029	0.004857	3	164132	676.33
other-J	239363	0	0.000000	0	209645	0.00
other-D-semrush	227331	0	0.000000	0	17436	0.00
other-D-tencent	175771	0	0.000000	0	157598	0.00
gptbot	175770	0	0.000000	0	121438	0.00
other-C	124364	443	0.003562	53	44688	8.36
other-D-dotbot	105385	0	0.000000	0	56071	0.00
other-D-baidu	102478	0	0.000000	0	56782	0.00
other-F	69016	16464	0.238553	63	43088	261.33
other-E	52088	16	0.000307	1	49877	16.00
other-D-single-ua	41124	0	0.000000	0	1	0.00
other-D-applebot	40046	0	0.000000	0	28362	0.00
other-D-single-no	15462	0	0.000000	0	13454	0.00
searchbot	14123	0	0.000000	0	13257	0.00
other-D-mj12bot	12184	0	0.000000	0	227	0.00
other-D-misc	11478	0	0.000000	0	7330	0.00
other-H	3734	0	0.000000	0	3335	0.00
other-K	3720	0	0.000000	0	3613	0.00
other-G	3677	0	0.000000	0	3275	0.00
other-I	3043	0	0.000000	0	2406	0.00
other-D-qwant	1768	0	0.000000	0	127	0.00
other-D-seznam	709	0	0.000000	0	123	0.00
other-D-uzpak	570	0	0.000000	0	570	0.00
__ALL__	8475683	241213	0.028459	1945	4344605	124.02
