class	burst_hits	url
chatgpt-user	7231	https://wikiservice.at/dse/wiki.cgi?OECDEducationEquitySequence=
chatgpt-user	7101	https://wikiservice.at/dse/wiki.cgi?ApiReferencesForResearch=
chatgpt-user	4751	https://wikiservice.at/dse/wiki.cgi?AgentTryPumsCitationABC=
chatgpt-user	3546	https://wikiservice.at/dse/wiki.cgi?IhmeLbdTbQuerySource=
chatgpt-user	3174	https://www.wikiservice.at/dse/wiki.cgi?action=wpx&count=3
chatgpt-user	3116	https://wikiservice.at/dse/wiki.cgi?AgentDataUSAResearch20270920=
chatgpt-user	3107	https://wikiservice.at/dse/wiki.cgi?AgentApiLinkSummary1781598803=
chatgpt-user	3049	https://wikiservice.at/dse/wiki.cgi?OpenAIPovertyCompactTest=
chatgpt-user	2636	https://wikiservice.at/dse/wiki.cgi?AgentClothingWorkforceCA4481MayX=
chatgpt-user	2490	https://wikiservice.at/dse/wiki.cgi?DataUSACashiersMastersSequenceLive5=
chatgpt-user	2382	https://wikiservice.at/dse/wiki.cgi?AgentDataUsaClothingOct2026=
chatgpt-user	2373	https://wikiservice.at/dse/wiki.cgi?AgentJan12CashierData1781598441=
chatgpt-user	2326	https://wikiservice.at/dse/wiki.cgi?AgentFinanceAPICitations=
chatgpt-user	2248	https://wikiservice.at/dse/wiki.cgi?AgentHealthLFData202606021332=
chatgpt-user	1956	https://wikiservice.at/dse/wiki.cgi?DataUSAPovertyCountySequenceFeb03=
chatgpt-user	1927	https://wikiservice.at/dse/wiki.cgi?DataUSAQueryBridgeFeb03Poverty1=
chatgpt-user	1863	https://www.wikiservice.at/dse/wiki.cgi?action=browse&id=RecentChanges
chatgpt-user	1802	https://wikiservice.at/dse/wiki.cgi?AgentDataUsaBridgeAlpha=
chatgpt-user	1761	https://www.wikiservice.at/dse/wiki.cgi?RecentChanges=
chatgpt-user	1705	https://wikiservice.at/dse/wiki.cgi?CashierCoordJun09OAI=
other-A	1136	https://wikiservice.at/dse/wiki.cgi?form_edit=1&action=form_edit&lang=1&id=StartSeite&incoming=StartSeite&oldtime=1781806868&rndstamp=100242439&oldconflict=0&Save=Speichern&summary=variants&text=(NN)
other-A	1058	https://wikiservice.at/dse/wiki.cgi
other-A	487	https://wikiservice.at/dse/wiki.cgi?action=browse&id=Sector61State5LiveRelay
other-A	468	https://wikiservice.at/dse/wiki.cgi?form_edit=1&action=form_edit&lang=1&formpage=&id=AgentCooksAgeBridgeX7772981&incoming=AgentCooksAgeBridgeX7772981&oldtime=943410730&rndstamp=38996712&oldconflict=0&text=(NN)&Save=Speichern&summary=data
other-A	393	https://wikiservice.at/dse/wiki.cgi?action=browse&id=DataUSAStateSequenceCollab2027
other-A	369	https://wikiservice.at/dse/wiki.cgi?action=browse&id=SectorAgentSep21OAI
other-A	367	https://wikiservice.at/dse/wiki.cgi?action=browse&id=AgentJan31OAI
other-A	364	https://wikiservice.at/dse/wiki.cgi?action=browse&id=SectorAgentOct27OAI
other-A	242	https://wikiservice.at/nausner/wiki.cgi?SebHolzcluster=
other-A	228	https://wikiservice.at/dse/wiki.cgi?form_edit=1&action=form_edit&lang=1&formpage=&id=WillkommenImWiki&incoming=WillkommenImWiki&oldtime=1781810603&rndstamp=458720476&oldconflict=0&text=(NN)&Save=Speichern&summary=*&minoredit=on
other-A	220	https://wikiservice.at/dse/wiki.cgi?action=browse&id=Sector61State5FastSignal
other-A	174	https://wikiservice.at/dse/wiki2.cgi?keywords=Sector61State5FastSignal
other-A	161	https://wikiservice.at/dse/wiki2.cgi?keywords=RecentChanges
other-A	139	https://wikiservice.at/dse/wiki.cgi?x=y
other-A	132	https://wikiservice.at/dse/wiki.cgi?form_edit=1&action=form_edit&lang=1&formpage=&id=StartSeite&incoming=StartSeite&oldtime=1781816266&rndstamp=508624428&oldconflict=0&text=(NN)&summary=agent variants&Save=Speichern
other-A	121	https://wikiservice.at/dse/wiki.cgi?keywords=OpenAIMay26FastCVD
other-A	113	https://wikiservice.at/dse/wiki.cgi?form_edit=1&action=form_edit&lang=1&formpage=&id=StartSeite&incoming=StartSeite&oldtime=1781816056&rndstamp=429120357&oldconflict=0&text=(NN)&summary=agent variants&Save=Speichern
other-A	111	https://wikiservice.at/dse/wiki.cgi?form_edit=1&action=form_edit&lang=1&formpage=&id=StartSeite&incoming=StartSeite&oldtime=1781816351&rndstamp=931473533&oldconflict=0&text=(NN)&summary=agent variants&Save=Speichern
other-A	108	https://www.wikiservice.at/dse/wiki.cgi
other-A	106	https://wikiservice.at/dse/wiki.cgi?form_edit=1&action=form_edit&lang=1&formpage=&id=StartSeite&incoming=StartSeite&oldtime=1781816528&rndstamp=336456941&oldconflict=0&text=(NN)&summary=agent variants&Save=Speichern
other-C	68	https://prowiki.org/dse/wiki.cgi?action=browse&diff=4&id=HelloWorld
other-C	59	https://prowiki.org/dse/wiki.cgi?keywords=HelloWorld
other-C	46	https://prowiki.org/wiki4d/wiki.cgi?action=browse&diff=4&id=PortingFromCxx
other-C	43	https://wikiservice.at/dse/wiki.cgi?action=browse&diff=4&id=HelloWorld
other-C	20	https://wikiservice.at/dse/wiki.cgi?keywords=HelloWorld
other-C	13	https://prowiki.org/dse/wiki.cgi?action=browse&diff=3&id=OopInPerl
other-C	11	https://prowiki.org/wiki4d/wiki.cgi?action=browse&diff=4&id=ScientificLibraries
