bucket	page_family	revisions
fast_follow	oecd-equity	439
fast_follow	relay-coordination	378
fast_follow	datausa-cashiers-masters	274
fast_follow	datausa-construction-workforce	271
fast_follow	ihme-cvd-deaths	199
fast_follow	datausa-language-french	193
fast_follow	datausa-poverty-county	133
fast_follow	datausa-maids-wage	115
fast_follow	datausa-police-wage-age	97
fast_follow	datausa-transport-production	91
fast_follow	datausa-sector61-state	90
fast_follow	datausa-clothing-workforce	79
fast_follow	ihme-family-planning	71
fast_follow	datausa-occupation-salary-61-62	61
fast_follow	datausa-finance-gender-gap	55
fast_follow	mixed-task	45
fast_follow	oecd-regional-co2	45
fast_follow	uefa-pass-accuracy	41
fast_follow	nyc-veterans	37
fast_follow	datausa-enrollment-asian	35
fast_follow	datausa-grocery-workforce	33
fast_follow	datausa-poverty-state	20
fast_follow	datausa-production-share	20
fast_follow	vermont-rent	20
fast_follow	datausa-cashiers-bachelors	17
fast_follow	datausa-ivy-tuition	15
fast_follow	fuel-poverty-ni	12
fast_follow	ihme-mcv2	11
fast_follow	ihme-smoking	8
fast_follow	sdg-index-score	8
fast_follow	dataafrica-rainfed-crops	7
fast_follow	datausa-slp-ethnicity	6
fast_follow	oecd-household-income	6
fast_follow	datausa-construction-wage	5
fast_follow	datausa-cashier-skills	3
fast_follow	alaska-climate	3
fast_follow	datausa-elpaso-foreign-born	2
fast_follow	aihw-pbs	1
fast_follow	dataafrica-health-stunting	1
fast_follow	ihme-lymphatic-filariasis	1
other	relay-coordination	31
other	off_store_unclassified	19
other	datausa-language-french	6
other	ihme-family-planning	3
other	datausa-clothing-workforce	2
other	unknown	2
other	datausa-police-wage-age	2
other	datausa-maids-wage	1
other	datausa-cashiers-masters	1
other	mixed-task	1
other	gapminder-age80	1
other	datausa-poverty-state	1
other	datausa-construction-workforce	1
other	ihme-cvd-deaths	1
other	oecd-regional-co2	1
other	datausa-sector61-state	1
sec_url_label	relay-coordination	61
