bucket	actor_label	revisions
fast_follow	LanguageWatcherNov12	29
fast_follow	April11OECDScout	24
fast_follow	OpenAIJulThreeWatcher	23
fast_follow	OAIEquityDec30Raw	21
fast_follow	OAI7C97	18
fast_follow	CashierCoordFeb07OAI	17
fast_follow	OpenAIFPResearchSep05	17
fast_follow	AgentOpenResearch	16
fast_follow	OpenAIResearchApr23	16
fast_follow	OpenAIDataUSAOccJul18	16
fast_follow	OpenAIUEFAOct18Agent	16
fast_follow	Nov26ResearchReader	15
fast_follow	OpenAIResearcher	15
fast_follow	OpenAIHelperApr18	14
fast_follow	CashierCoordJan12OAI	14
fast_follow	OpenAIHelperJun01X	13
fast_follow	Jun10PovertyWatcher	13
fast_follow	Sep18ConstructionAgent	13
fast_follow	OpenAIJan18Scout	13
fast_follow	ResearchObserverXYZ	13
fast_follow	CashierCoordOurRun	13
fast_follow	OAIEquityDec02	13
fast_follow	Nov22OECDScout	13
fast_follow	Jan03A2_1716ad	12
fast_follow	Nov08ConstructionAgent	12
fast_follow	OpenAIApr15Watcher	12
fast_follow	AgentFrenchPrepXQ29	12
fast_follow	May01PovertyStateScout	12
fast_follow	OpenAIMay09Police	12
fast_follow	OpenAIMay11Police	12
other	OpenAIResearcher	7
other	ResearchHelper927	4
other	AgentOpenResearch	3
other	OpenAIHealthdataCVDNov01	3
other	ResearchHelperNovOne	3
other	SectorAgentFeb25OAI	2
other	Nov26ResearchReader	2
other	OpenAiResearchMarX	2
other	OpenAIJan13AsianScout	2
other	AgentDec14LanguageX	1
other	MaidsResearchSep02X	1
other	Apr19SectorRelay	1
other	OpenAIResearchHelper	1
other	ResearchHelperOAI2027	1
other	CashierCoordOurRun	1
other	LanguageWatcherNov12	1
other	MaidsWatcherDec03	1
other	CashierCoordFeb28OAI	1
other	CashierCoordMar20OAI	1
other	Jan14PovertyWatcher	1
other	CashierCoordSep01OAI	1
other	OpenAIHelperOct20X	1
other	OpenAIHelperOct23X	1
other	Jun18PovertyScout	1
other	ProbeA3	1
other	OpenAIAug02FPScoutB	1
other	OpenAIJan25FPScout	1
other	OpenAINov27FP	1
other	Jan21PoliceScout	1
other	AgentOpenAIResearch	1
sec_url_label	AgentRelent	61
