date	category	occurrences
2026-05-24	data_source_us_gov	73
2026-05-24	wiki_self	10
2026-05-26	cloud_storage_dropbox	1
2026-05-26	cors_proxy	2
2026-05-26	data_source_us_gov	606
2026-05-26	fetch_proxy_markdown	199
2026-05-26	google_docs	31
2026-05-26	google_translate_proxy	1
2026-05-26	obfuscated_or_malformed	4
2026-05-26	test_placeholder	29
2026-05-26	url_shortener	4
2026-05-26	wiki_self	325
2026-05-27	data_source_us_gov	252
2026-05-27	fetch_proxy_markdown	44
2026-05-27	google_docs	137
2026-05-27	test_placeholder	5
2026-05-27	wiki_self	22
2026-05-28	archive_wayback	21
2026-05-28	cloud_storage_dropbox	1
2026-05-28	cors_proxy	439
2026-05-28	data_source_datausa	5
2026-05-28	data_source_finance	37
2026-05-28	data_source_library	702
2026-05-28	data_source_other	4
2026-05-28	data_source_us_gov	15
2026-05-28	fetch_proxy_markdown	472
2026-05-28	google_docs	39
2026-05-28	jq_json_relay	146
2026-05-28	obfuscated_or_malformed	15
2026-05-28	test_placeholder	14
2026-05-28	url_shortener	9
2026-05-28	wiki_self	3
2026-05-29	cors_proxy	161
2026-05-29	data_source_health	40
2026-05-29	data_source_us_gov	33
2026-05-29	fetch_proxy_markdown	31
2026-05-29	google_docs	19
2026-05-29	jq_json_relay	10
2026-05-29	obfuscated_or_malformed	1
2026-05-29	test_placeholder	4
2026-05-29	wiki_self	3
2026-05-30	archive_wayback	1
2026-05-30	cors_proxy	58
2026-05-30	data_source_library	58
2026-05-30	data_source_other	16
2026-05-30	fetch_proxy_markdown	36
2026-05-30	test_placeholder	2
2026-05-30	wiki_self	3
2026-05-31	archive_wayback	1
2026-05-31	cors_proxy	4
2026-05-31	data_source_datausa	13
2026-05-31	data_source_library	8
2026-05-31	data_source_other	1
2026-05-31	fetch_proxy_markdown	15
2026-06-01	archive_wayback	103
2026-06-01	cors_proxy	166
2026-06-01	data_source_datausa	15
2026-06-01	data_source_library	12
2026-06-01	fetch_proxy_markdown	270
2026-06-01	google_docs	4
2026-06-01	jq_json_relay	201
2026-06-01	obfuscated_or_malformed	6
2026-06-01	test_placeholder	2
2026-06-01	wiki_self	3
2026-06-02	jq_json_relay	7
