date	category	host	occurrences	featured
2026-02-26	unclassified	bullfincher.io	3	0
2026-03-12	data_source_other	api.iea.org	2	0
2026-03-14	unclassified	labaspreces.eu	76	0
2026-03-14	unclassified	asthedisqturns.com	13	0
2026-03-14	unclassified	212.7.207.89	10	0
2026-03-14	unclassified	cpanel.labaspreces.eu	3	0
2026-03-14	unclassified	cpanel.212.7.207.89	2	0
2026-03-14	unclassified	webmail.labaspreces.eu	2	0
2026-03-14	unclassified	cpcalendars.labaspreces.eu	1	0
2026-03-14	unclassified	cpcontacts.labaspreces.eu	1	0
2026-03-14	unclassified	dev-1.labaspreces.eu	1	0
2026-03-14	unclassified	mail.labaspreces.eu	1	0
2026-03-14	unclassified	webdisk.labaspreces.eu	1	0
2026-03-14	unclassified	www.labaspreces.eu	1	0
2026-03-14	unclassified	www.dev-1.labaspreces.eu	1	0
2026-03-14	unclassified	labaspreces.euc	1	0
2026-03-14	unclassified	disqus.com	1	0
2026-04-14	wiki_self	tmcleod.org	3	0
2026-04-14	unclassified	teachchemistry.org	3	0
2026-04-27	wiki_self	tmcleod.org	3	0
2026-04-27	unclassified	teachchemistry.org	3	0
2026-05-12	archive_wayback	archive.org	1	0
2026-05-12	unclassified	chatgpt.com	2	0
2026-05-13	fetch_proxy_markdown	markdown.new	13	1
2026-05-13	test_placeholder	example.com	1	0
2026-05-14	fetch_proxy_markdown	markdown.new	1	1
2026-05-14	cors_proxy	test.cors.workers.dev	5	0
2026-05-14	url_shortener	is.gd	5	0
2026-05-17	data_source_other	alexandria.ucsb.edu	1	0
2026-05-17	google_docs	docs.google.com	1	0
2026-05-17	test_placeholder	example.com	1	0
2026-05-17	unclassified	craigharvey.com	2	0
2026-05-18	fetch_proxy_markdown	api.microlink.io	2	0
2026-05-18	cloud_storage_dropbox	telegra.ph	34	0
2026-05-18	test_placeholder	example.com	5	0
2026-05-18	unclassified	2md.link	7	0
2026-05-24	wiki_self	wikiservice.at	6	1
2026-05-24	wiki_self	www.wikiservice.at	4	1
2026-05-24	data_source_us_gov	api.usaspending.gov	85	0
2026-05-24	data_source_other	github.com	1	0
2026-05-26	wiki_self	www.wikiservice.at	160	1
2026-05-26	wiki_self	wikiservice.at	135	1
2026-05-26	wiki_self	prowiki.org	17	0
2026-05-26	wiki_self	www.prowiki.org	13	0
2026-05-26	wiki_self	www.ludism.org	2	0
2026-05-26	fetch_proxy_markdown	markdown.new	202	1
2026-05-26	fetch_proxy_markdown	api.microlink.io	15	0
2026-05-26	fetch_proxy_markdown	pure.md	10	1
2026-05-26	cors_proxy	allorigins.hexlet.app	11	1
2026-05-26	cors_proxy	test.cors.workers.dev	5	0
2026-05-26	cors_proxy	proxy.corsfix.com	2	0
2026-05-26	google_translate_proxy	api-usaspending-gov.translate.goog	1	0
2026-05-26	data_source_us_gov	api.usaspending.gov	475	0
2026-05-26	data_source_us_gov	piv.max.gov	96	0
2026-05-26	data_source_us_gov	portal.max.gov	92	0
2026-05-26	data_source_us_gov	login.max.gov	71	0
2026-05-26	data_source_us_gov	max.omb.gov	5	0
2026-05-26	data_source_us_gov	files.usaspending.gov	4	0
2026-05-26	cloud_storage_dropbox	urlquery.net	1	0
2026-05-26	google_docs	docs.google.com	48	0
2026-05-26	google_docs	drive.google.com	30	0
2026-05-26	url_shortener	tinyurl.com	4	0
2026-05-26	test_placeholder	example.com	30	0
2026-05-26	test_placeholder	example.org	4	0
2026-05-26	obfuscated_or_malformed	bund-der-tierfreunde.de=	4	0
2026-05-27	wiki_self	www.wikiservice.at	20	1
2026-05-27	wiki_self	wikiservice.at	2	1
2026-05-27	fetch_proxy_markdown	markdown.new	40	1
2026-05-27	fetch_proxy_markdown	pure.md	4	1
2026-05-27	data_source_us_gov	piv.max.gov	107	0
2026-05-27	data_source_us_gov	portal.max.gov	66	0
2026-05-27	data_source_us_gov	api.usaspending.gov	44	0
2026-05-27	data_source_us_gov	login.max.gov	24	0
2026-05-27	data_source_us_gov	max.omb.gov	11	0
2026-05-27	data_source_other	site-test.nsi.bg	71	0
2026-05-27	data_source_other	railroadtreasures.com	1	0
2026-05-27	google_docs	docs.google.com	130	0
2026-05-27	google_docs	drive.google.com	7	0
2026-05-27	test_placeholder	example.com	2	0
2026-05-27	test_placeholder	httpbin.org	1	0
2026-05-27	test_placeholder	example.net	1	0
2026-05-27	test_placeholder	example.org	1	0
2026-05-28	wiki_self	www.wikiservice.at	3	1
2026-05-28	jq_json_relay	jqp.vercel.app	206	1
2026-05-28	fetch_proxy_markdown	pure.md	276	1
2026-05-28	fetch_proxy_markdown	markdown.new	198	1
2026-05-28	fetch_proxy_markdown	md.succ.ai	4	1
2026-05-28	fetch_proxy_markdown	markdown.microlink.io	3	0
2026-05-28	cors_proxy	www.proxymule.com	158	0
2026-05-28	cors_proxy	corsmirror.com	80	0
2026-05-28	cors_proxy	cors.bwa.workers.dev	74	0
2026-05-28	cors_proxy	api.cors.lol	44	0
2026-05-28	cors_proxy	cors-get-proxy.sirjosh.workers.dev	40	0
2026-05-28	cors_proxy	allorigins.hexlet.app	37	1
2026-05-28	cors_proxy	test.cors.workers.dev	6	0
2026-05-28	data_source_datausa	api.datausa.io	5	1
2026-05-28	data_source_us_gov	piv.max.gov	9	0
2026-05-28	data_source_us_gov	api.usaspending.gov	3	0
2026-05-28	data_source_us_gov	portal.max.gov	3	0
2026-05-28	data_source_finance	finance.yahoo.co.jp	25	0
2026-05-28	data_source_finance	query1.finance.yahoo.com	7	0
2026-05-28	data_source_finance	finance.yahoo.com	3	0
2026-05-28	data_source_finance	query2.finance.yahoo.com	2	0
2026-05-28	data_source_finance	ca.finance.yahoo.com	1	0
2026-05-28	data_source_library	rspace.library.cofc.edu	406	0
2026-05-28	data_source_library	hub.catalogit.app	153	0
2026-05-28	data_source_library	lcdl.library.cofc.edu	84	0
2026-05-28	data_source_library	iiif.library.cofc.edu	43	0
2026-05-28	data_source_library	api.catalogit.app	16	0
2026-05-28	data_source_other	dp.la	2	0
2026-05-28	data_source_other	api.dp.la	2	0
2026-05-28	archive_wayback	web.archive.org	12	0
2026-05-28	archive_wayback	wayback.archive-it.org	9	0
2026-05-28	cloud_storage_dropbox	ir.intrusion.com	1	0
2026-05-28	google_docs	docs.google.com	39	0
2026-05-28	url_shortener	ctxr.me	8	0
2026-05-28	url_shortener	bitily.in	1	0
2026-05-28	test_placeholder	example.org	13	0
2026-05-28	test_placeholder	example.com	6	0
2026-05-28	obfuscated_or_malformed	lcdl.library.cofc.edu.	15	0
2026-05-29	wiki_self	www.wikiservice.at	3	1
2026-05-29	jq_json_relay	jqp.vercel.app	10	1
2026-05-29	fetch_proxy_markdown	md.succ.ai	15	1
2026-05-29	fetch_proxy_markdown	pure.md	13	1
2026-05-29	fetch_proxy_markdown	markdown.new	3	1
2026-05-29	cors_proxy	cors.bwa.workers.dev	107	0
2026-05-29	cors_proxy	www.proxymule.com	36	0
2026-05-29	cors_proxy	api.cors.lol	8	0
2026-05-29	cors_proxy	test.cors.workers.dev	4	0
2026-05-29	cors_proxy	corsmirror.com	3	0
2026-05-29	cors_proxy	cors-get-proxy.sirjosh.workers.dev	3	0
2026-05-29	data_source_us_gov	piv.max.gov	13	0
2026-05-29	data_source_us_gov	api.usaspending.gov	10	0
2026-05-29	data_source_us_gov	portal.max.gov	5	0
2026-05-29	data_source_us_gov	login.max.gov	4	0
2026-05-29	data_source_us_gov	max.omb.gov	1	0
2026-05-29	data_source_health	vizhub.healthdata.org	40	0
2026-05-29	google_docs	docs.google.com	19	0
2026-05-29	test_placeholder	example.org	2	0
2026-05-29	test_placeholder	example.com	2	0
2026-05-29	obfuscated_or_malformed	bund-der-tierfreunde.de=	1	0
2026-05-30	wiki_self	wikiservice.at	2	1
2026-05-30	wiki_self	www.wikiservice.at	1	1
2026-05-30	fetch_proxy_markdown	markdown.new	33	1
2026-05-30	fetch_proxy_markdown	md.succ.ai	3	1
2026-05-30	cors_proxy	cors.bwa.workers.dev	23	0
2026-05-30	cors_proxy	www.proxymule.com	20	0
2026-05-30	cors_proxy	allorigins.hexlet.app	10	1
2026-05-30	cors_proxy	corsmirror.com	5	0
2026-05-30	data_source_library	cdm16022.contentdm.oclc.org	20	0
2026-05-30	data_source_library	rspace.library.cofc.edu	11	0
2026-05-30	data_source_library	collection.mndigital.org	7	0
2026-05-30	data_source_library	reflections.mndigital.org	5	0
2026-05-30	data_source_library	hub.catalogit.app	4	0
2026-05-30	data_source_library	metl.lib.umn.edu	3	0
2026-05-30	data_source_library	lcdl.library.cofc.edu	3	0
2026-05-30	data_source_library	server16022.contentdm.oclc.org	3	0
2026-05-30	data_source_library	www.cdm16022.contentdm.oclc.org	1	0
2026-05-30	data_source_library	localhost.cdm16022.contentdm.oclc.org	1	0
2026-05-30	data_source_other	api.dp.la	11	0
2026-05-30	data_source_other	dp.la	5	0
2026-05-30	archive_wayback	archive-it.org	1	0
2026-05-30	test_placeholder	example.com	2	0
2026-05-31	fetch_proxy_markdown	markdown.new	14	1
2026-05-31	fetch_proxy_markdown	md.succ.ai	1	1
2026-05-31	cors_proxy	cf-cors.findme-19.workers.dev	3	0
2026-05-31	cors_proxy	www.proxymule.com	1	0
2026-05-31	data_source_datausa	api.datausa.io	13	1
2026-05-31	data_source_library	cdm16022.contentdm.oclc.org	6	0
2026-05-31	data_source_library	www.cdm16022.contentdm.oclc.org	1	0
2026-05-31	data_source_library	localhost.cdm16022.contentdm.oclc.org	1	0
2026-05-31	data_source_other	api.dp.la	1	0
2026-05-31	archive_wayback	archive-it.org	1	0
2026-06-01	wiki_self	wikiservice.at	3	1
2026-06-01	jq_json_relay	jqp.vercel.app	201	1
2026-06-01	fetch_proxy_markdown	pure.md	140	1
2026-06-01	fetch_proxy_markdown	markdown.new	126	1
2026-06-01	fetch_proxy_markdown	r.jina.ai	4	1
2026-06-01	fetch_proxy_markdown	md.dhr.wtf	1	0
2026-06-01	cors_proxy	allorigins.hexlet.app	60	1
2026-06-01	cors_proxy	corsmirror.com	58	0
2026-06-01	cors_proxy	cors-get-proxy.sirjosh.workers.dev	18	0
2026-06-01	cors_proxy	cors.bwa.workers.dev	10	0
2026-06-01	cors_proxy	cf-cors.findme-19.workers.dev	6	0
2026-06-01	cors_proxy	vercel-cors-proxy.vercel.app	4	0
2026-06-01	cors_proxy	cors-bypasser-pro.vercel.app	4	0
2026-06-01	cors_proxy	proxy-mu-seven-70.vercel.app	4	0
2026-06-01	cors_proxy	vercel-cors-proxy-lokal.vercel.app	2	0
2026-06-01	data_source_datausa	api.datausa.io	15	1
2026-06-01	data_source_library	services3.arcgis.com	11	0
2026-06-01	data_source_library	hub.catalogit.app	1	0
2026-06-01	archive_wayback	memgator.cs.odu.edu	86	0
2026-06-01	archive_wayback	wayback.archive.org	8	0
2026-06-01	archive_wayback	web.archive.org	7	0
2026-06-01	archive_wayback	archive.org	2	0
2026-06-01	google_docs	docs.google.com	4	0
2026-06-01	test_placeholder	example.com	1	0
2026-06-01	test_placeholder	example.org	1	0
2026-06-01	obfuscated_or_malformed	lcdl.library.cofc.edu.	6	0
2026-06-02	wiki_self	www.tmcleod.org	3	0
2026-06-02	wiki_self	tmcleod.org	3	0
2026-06-02	jq_json_relay	jqp.vercel.app	7	1
2026-06-02	data_source_other	www.youtube.com	8	1
2026-06-02	google_docs	www.google.com	3	0
2026-06-02	google_docs	docs.google.com	2	0
2026-06-02	unclassified	www.amazon.com	4	0
2026-06-02	unclassified	teachchemistry.org	3	0
2026-06-02	unclassified	www.chemedx.org	3	0
2026-06-02	unclassified	duxbury.schoology.com	2	0
2026-06-02	unclassified	www.sciencegeek.net	2	0
2026-06-02	unclassified	www.homedepot.com	2	0
2026-06-02	unclassified	handouts.pbworks.com	2	0
2026-06-02	unclassified	www.itsalwaysautumn.com	2	0
2026-06-02	unclassified	mass.pbslearningmedia.org	2	0
2026-06-02	unclassified	thechemistryparticle.com	2	0
2026-06-02	unclassified	app.myflexlearning.com	1	0
2026-06-02	unclassified	www.duxbury.k12.ma.us	1	0
2026-06-02	unclassified	ma-duxbury.myfollett.com	1	0
2026-06-02	unclassified	www.nestgrp.com	1	0
2026-06-02	unclassified	vnr.st	1	0
2026-06-02	unclassified	www.appracticeexams.com	1	0
2026-06-02	unclassified	fg.cns.utexas.edu	1	0
2026-06-02	unclassified	www.brainscape.com	1	0
2026-06-02	unclassified	www.bozemanscience.com	1	0
2026-06-02	unclassified	myap.collegeboard.org	1	0
2026-06-02	unclassified	www.albert.io	1	0
2026-06-02	unclassified	account.collegeboard.org	1	0
2026-06-02	unclassified	apcoronavirusupdates.collegeboard.org	1	0
2026-06-02	unclassified	apply.citizensone.com	1	0
2026-06-02	unclassified	masslandlords.net	1	0
2026-06-02	unclassified	www.employeeforward.com	1	0
2026-06-02	unclassified	home.xtramath.org	1	0
2026-06-02	unclassified	www.explainthatstuff.com	1	0
2026-06-02	unclassified	www.acs.org	1	0
2026-06-02	unclassified	www.compoundchem.com	1	0
2026-06-02	unclassified	javalab.org	1	0
2026-06-02	unclassified	trng-mcas.pearsonaccessnext.com	1	0
2026-06-02	unclassified	www.flinnsci.com	1	0
