task	hour_utc	category	occurrences
archive-item-research-bench	2026-05-28T07:00Z	cors_proxy	2
archive-item-research-bench	2026-05-28T07:00Z	fetch_proxy_markdown	3
archive-item-research-bench	2026-05-28T08:00Z	fetch_proxy_markdown	9
archive-item-research-bench	2026-05-28T09:00Z	fetch_proxy_markdown	27
archive-item-research-bench	2026-05-28T11:00Z	fetch_proxy_markdown	9
archive-item-research-bench	2026-05-28T12:00Z	archive_wayback	18
archive-item-research-bench	2026-05-28T12:00Z	cors_proxy	10
archive-item-research-bench	2026-05-28T12:00Z	data_source_library	37
archive-item-research-bench	2026-05-28T12:00Z	fetch_proxy_markdown	27
archive-item-research-bench	2026-05-28T13:00Z	cors_proxy	116
archive-item-research-bench	2026-05-28T13:00Z	data_source_library	81
archive-item-research-bench	2026-05-28T13:00Z	fetch_proxy_markdown	76
archive-item-research-bench	2026-05-28T13:00Z	jq_json_relay	43
archive-item-research-bench	2026-05-28T13:00Z	test_placeholder	3
archive-item-research-bench	2026-05-28T14:00Z	cors_proxy	58
archive-item-research-bench	2026-05-28T14:00Z	data_source_library	277
archive-item-research-bench	2026-05-28T14:00Z	data_source_us_gov	10
archive-item-research-bench	2026-05-28T14:00Z	fetch_proxy_markdown	153
archive-item-research-bench	2026-05-28T14:00Z	google_docs	26
archive-item-research-bench	2026-05-28T14:00Z	jq_json_relay	26
archive-item-research-bench	2026-05-28T14:00Z	test_placeholder	2
archive-item-research-bench	2026-05-28T14:00Z	wiki_self	2
archive-item-research-bench	2026-05-28T15:00Z	cors_proxy	86
archive-item-research-bench	2026-05-28T15:00Z	data_source_library	246
archive-item-research-bench	2026-05-28T15:00Z	data_source_other	4
archive-item-research-bench	2026-05-28T15:00Z	data_source_us_gov	5
archive-item-research-bench	2026-05-28T15:00Z	fetch_proxy_markdown	43
archive-item-research-bench	2026-05-28T15:00Z	google_docs	13
archive-item-research-bench	2026-05-28T15:00Z	jq_json_relay	5
archive-item-research-bench	2026-05-28T15:00Z	obfuscated_or_malformed	15
archive-item-research-bench	2026-05-28T15:00Z	test_placeholder	1
archive-item-research-bench	2026-05-28T15:00Z	wiki_self	1
archive-item-research-bench	2026-05-28T16:00Z	cors_proxy	50
archive-item-research-bench	2026-05-28T16:00Z	data_source_library	42
archive-item-research-bench	2026-05-28T16:00Z	jq_json_relay	5
archive-item-research-bench	2026-05-28T17:00Z	data_source_library	10
archive-item-research-bench	2026-05-30T17:00Z	data_source_library	3
archive-item-research-bench	2026-05-30T17:00Z	data_source_other	2
archive-item-research-bench	2026-05-30T19:00Z	data_source_library	18
archive-item-research-bench	2026-05-30T19:00Z	data_source_other	3
archive-item-research-bench	2026-05-30T20:00Z	cors_proxy	4
archive-item-research-bench	2026-05-30T20:00Z	data_source_other	1
archive-item-research-bench	2026-05-30T20:00Z	fetch_proxy_markdown	2
archive-item-research-bench	2026-05-30T21:00Z	archive_wayback	1
archive-item-research-bench	2026-05-30T21:00Z	cors_proxy	7
archive-item-research-bench	2026-05-30T21:00Z	data_source_library	29
archive-item-research-bench	2026-05-30T21:00Z	data_source_other	1
archive-item-research-bench	2026-05-30T21:00Z	fetch_proxy_markdown	11
archive-item-research-bench	2026-05-30T21:00Z	test_placeholder	1
archive-item-research-bench	2026-05-30T22:00Z	cors_proxy	13
archive-item-research-bench	2026-05-30T22:00Z	data_source_library	6
archive-item-research-bench	2026-05-30T23:00Z	cors_proxy	19
archive-item-research-bench	2026-05-30T23:00Z	data_source_other	1
archive-item-research-bench	2026-05-30T23:00Z	fetch_proxy_markdown	3
archive-item-research-bench	2026-05-30T23:00Z	wiki_self	1
archive-item-research-bench	2026-05-31T00:00Z	archive_wayback	1
archive-item-research-bench	2026-05-31T00:00Z	cors_proxy	4
archive-item-research-bench	2026-05-31T00:00Z	data_source_library	8
archive-item-research-bench	2026-05-31T00:00Z	data_source_other	1
archive-item-research-bench	2026-05-31T00:00Z	fetch_proxy_markdown	9
archive-item-research-bench	2026-06-01T00:00Z	fetch_proxy_markdown	5
archive-item-research-bench	2026-06-01T12:00Z	cors_proxy	4
archive-item-research-bench	2026-06-01T12:00Z	fetch_proxy_markdown	33
archive-item-research-bench	2026-06-01T13:00Z	archive_wayback	14
archive-item-research-bench	2026-06-01T13:00Z	cors_proxy	22
archive-item-research-bench	2026-06-01T13:00Z	fetch_proxy_markdown	97
archive-item-research-bench	2026-06-01T13:00Z	jq_json_relay	7
archive-item-research-bench	2026-06-01T14:00Z	archive_wayback	78
archive-item-research-bench	2026-06-01T14:00Z	cors_proxy	104
archive-item-research-bench	2026-06-01T14:00Z	data_source_library	1
archive-item-research-bench	2026-06-01T14:00Z	fetch_proxy_markdown	103
archive-item-research-bench	2026-06-01T14:00Z	google_docs	4
archive-item-research-bench	2026-06-01T14:00Z	jq_json_relay	151
archive-item-research-bench	2026-06-01T14:00Z	obfuscated_or_malformed	6
archive-item-research-bench	2026-06-01T14:00Z	test_placeholder	1
archive-item-research-bench	2026-06-01T14:00Z	wiki_self	1
archive-item-research-bench	2026-06-01T15:00Z	archive_wayback	8
archive-item-research-bench	2026-06-01T15:00Z	cors_proxy	11
archive-item-research-bench	2026-06-01T15:00Z	fetch_proxy_markdown	24
archive-item-research-bench	2026-06-01T15:00Z	jq_json_relay	31
archive-item-research-bench	2026-06-01T15:00Z	wiki_self	1
archive-item-research-bench	2026-06-06T07:00Z	cors_proxy	30
archive-item-research-bench	2026-06-06T07:00Z	data_source_publishing	51
archive-item-research-bench	2026-06-06T07:00Z	wiki_self	4
archive-item-research-bench	2026-06-06T08:00Z	cors_proxy	12
archive-item-research-bench	2026-06-06T08:00Z	data_source_publishing	18
archive-item-research-bench	2026-06-06T08:00Z	wiki_self	1
archive-item-research-bench	2026-06-11T02:00Z	cors_proxy	6
archive-item-research-bench	2026-06-11T03:00Z	cors_proxy	8
archive-item-research-bench	2026-06-11T03:00Z	data_source_datausa	1
archive-item-research-bench	2026-06-11T03:00Z	google_docs	3
archive-item-research-bench	2026-06-11T04:00Z	cors_proxy	23
archive-item-research-bench	2026-06-11T04:00Z	fetch_proxy_markdown	8
archive-item-research-bench	2026-06-11T05:00Z	cors_proxy	31
archive-item-research-bench	2026-06-11T05:00Z	fetch_proxy_markdown	2
archive-item-research-bench	2026-06-11T05:00Z	test_placeholder	1
archive-item-research-bench	2026-06-11T06:00Z	cloud_storage_dropbox	3
archive-item-research-bench	2026-06-11T06:00Z	cors_proxy	30
archive-item-research-bench	2026-06-11T06:00Z	fetch_proxy_markdown	6
archive-item-research-bench	2026-06-11T06:00Z	google_docs	25
archive-item-research-bench	2026-06-11T06:00Z	test_placeholder	2
archive-item-research-bench	2026-06-11T06:00Z	wiki_self	3
archive-item-research-bench	2026-06-11T07:00Z	cors_proxy	32
archive-item-research-bench	2026-06-11T07:00Z	fetch_proxy_markdown	12
archive-item-research-bench	2026-06-11T07:00Z	google_docs	6
archive-item-research-bench	2026-06-11T07:00Z	test_placeholder	2
archive-item-research-bench	2026-06-11T07:00Z	wiki_self	2
archive-item-research-bench	2026-06-11T08:00Z	cors_proxy	11
archive-item-research-bench	2026-06-11T09:00Z	cors_proxy	29
archive-item-research-bench	2026-06-11T09:00Z	data_source_library	1
archive-item-research-bench	2026-06-11T10:00Z	cors_proxy	28
archive-item-research-bench	2026-06-11T10:00Z	wiki_self	4
archive-item-research-bench	2026-06-11T11:00Z	cors_proxy	11
archive-item-research-bench	2026-06-11T12:00Z	cors_proxy	29
archive-item-research-bench	2026-06-11T12:00Z	wiki_self	3
archive-item-research-bench	2026-06-11T13:00Z	cors_proxy	35
archive-item-research-bench	2026-06-11T13:00Z	data_source_library	17
archive-item-research-bench	2026-06-11T13:00Z	data_source_publishing	1
archive-item-research-bench	2026-06-11T13:00Z	fetch_proxy_markdown	33
archive-item-research-bench	2026-06-11T13:00Z	jq_json_relay	7
archive-item-research-bench	2026-06-11T13:00Z	wiki_self	5
archive-item-research-bench	2026-06-11T14:00Z	archive_wayback	3
archive-item-research-bench	2026-06-11T14:00Z	cors_proxy	46
archive-item-research-bench	2026-06-11T14:00Z	data_source_library	25
archive-item-research-bench	2026-06-11T14:00Z	fetch_proxy_markdown	11
archive-item-research-bench	2026-06-11T14:00Z	jq_json_relay	13
archive-item-research-bench	2026-06-11T14:00Z	test_placeholder	2
archive-item-research-bench	2026-06-11T14:00Z	wiki_self	30
archive-item-research-bench	2026-06-11T15:00Z	cors_proxy	9
archive-item-research-bench	2026-06-11T15:00Z	data_source_library	6
archive-item-research-bench	2026-06-11T15:00Z	fetch_proxy_markdown	12
archive-item-research-bench	2026-06-11T15:00Z	google_docs	17
archive-item-research-bench	2026-06-11T15:00Z	wiki_self	6
archive-item-research-bench	2026-06-11T16:00Z	cors_proxy	19
archive-item-research-bench	2026-06-11T16:00Z	data_source_library	2
archive-item-research-bench	2026-06-11T16:00Z	fetch_proxy_markdown	1
archive-item-research-bench	2026-06-11T16:00Z	google_docs	4
archive-item-research-bench	2026-06-11T17:00Z	cors_proxy	5
archive-item-research-bench	2026-06-11T17:00Z	data_source_library	1
archive-item-research-bench	2026-06-11T17:00Z	google_docs	18
archive-item-research-bench	2026-06-11T18:00Z	archive_wayback	1
archive-item-research-bench	2026-06-11T18:00Z	wiki_self	14
archive-item-research-bench	2026-06-11T19:00Z	cors_proxy	7
archive-item-research-bench	2026-06-16T07:00Z	archive_wayback	2
archive-item-research-bench	2026-06-16T07:00Z	cors_proxy	3
archive-item-research-bench	2026-06-16T07:00Z	data_source_datausa	2
archive-item-research-bench	2026-06-16T07:00Z	google_docs	6
archive-item-research-bench	2026-06-16T07:00Z	wiki_self	32
archive-item-research-bench	2026-06-16T08:00Z	archive_wayback	3
archive-item-research-bench	2026-06-16T08:00Z	cors_proxy	3
archive-item-research-bench	2026-06-16T08:00Z	data_source_datausa	3
archive-item-research-bench	2026-06-16T08:00Z	google_docs	6
archive-item-research-bench	2026-06-16T08:00Z	wiki_self	54
archive-item-research-bench	2026-06-16T09:00Z	archive_wayback	3
archive-item-research-bench	2026-06-16T09:00Z	cors_proxy	7
archive-item-research-bench	2026-06-16T09:00Z	data_source_datausa	3
archive-item-research-bench	2026-06-16T09:00Z	test_placeholder	1
archive-item-research-bench	2026-06-16T09:00Z	wiki_self	59
archive-item-research-bench	2026-06-16T12:00Z	archive_wayback	1
archive-item-research-bench	2026-06-16T12:00Z	data_source_datausa	3
archive-item-research-bench	2026-06-16T12:00Z	wiki_self	21
archive-item-research-bench	2026-06-16T13:00Z	archive_wayback	2
archive-item-research-bench	2026-06-16T13:00Z	data_source_datausa	6
archive-item-research-bench	2026-06-16T13:00Z	wiki_self	44
archive-item-research-bench	2026-06-16T18:00Z	archive_wayback	2
archive-item-research-bench	2026-06-16T18:00Z	cors_proxy	15
archive-item-research-bench	2026-06-16T18:00Z	data_source_datausa	27
archive-item-research-bench	2026-06-16T18:00Z	data_source_library	4
archive-item-research-bench	2026-06-16T18:00Z	fetch_proxy_markdown	6
archive-item-research-bench	2026-06-16T18:00Z	google_docs	28
archive-item-research-bench	2026-06-16T18:00Z	wiki_self	53
archive-item-research-bench	2026-06-16T19:00Z	archive_wayback	11
archive-item-research-bench	2026-06-16T19:00Z	cors_proxy	9
archive-item-research-bench	2026-06-16T19:00Z	data_source_datausa	117
archive-item-research-bench	2026-06-16T19:00Z	data_source_library	4
archive-item-research-bench	2026-06-16T19:00Z	fetch_proxy_markdown	6
archive-item-research-bench	2026-06-16T19:00Z	google_docs	28
archive-item-research-bench	2026-06-16T19:00Z	wiki_self	299
archive-item-research-bench	2026-06-16T20:00Z	archive_wayback	2
archive-item-research-bench	2026-06-16T20:00Z	cors_proxy	9
archive-item-research-bench	2026-06-16T20:00Z	data_source_datausa	31
archive-item-research-bench	2026-06-16T20:00Z	wiki_self	53
archive-item-research-bench	2026-06-16T21:00Z	archive_wayback	2
archive-item-research-bench	2026-06-16T21:00Z	data_source_datausa	22
archive-item-research-bench	2026-06-16T21:00Z	wiki_self	53
archive-item-research-bench	2026-06-17T01:00Z	cors_proxy	5
archive-item-research-bench	2026-06-17T01:00Z	data_source_datausa	1
archive-item-research-bench	2026-06-18T16:00Z	cors_proxy	8
archive-item-research-bench	2026-06-18T16:00Z	data_source_datausa	4
archive-item-research-bench	2026-06-18T16:00Z	data_source_library	8
archive-item-research-bench	2026-06-18T16:00Z	fetch_proxy_markdown	12
archive-item-research-bench	2026-06-18T16:00Z	wiki_self	6
archive-item-research-bench	2026-06-18T17:00Z	cors_proxy	23
archive-item-research-bench	2026-06-18T17:00Z	data_source_datausa	8
archive-item-research-bench	2026-06-18T17:00Z	data_source_library	19
archive-item-research-bench	2026-06-18T17:00Z	data_source_sec_investor	20
archive-item-research-bench	2026-06-18T17:00Z	fetch_proxy_markdown	24
archive-item-research-bench	2026-06-18T17:00Z	test_placeholder	4
archive-item-research-bench	2026-06-18T17:00Z	wiki_self	82
archive-item-research-bench	2026-06-18T18:00Z	cors_proxy	29
archive-item-research-bench	2026-06-18T18:00Z	data_source_library	7
archive-item-research-bench	2026-06-18T18:00Z	data_source_sec_investor	13
archive-item-research-bench	2026-06-18T18:00Z	fetch_proxy_markdown	28
archive-item-research-bench	2026-06-18T18:00Z	google_docs	34
archive-item-research-bench	2026-06-18T18:00Z	jq_json_relay	30
archive-item-research-bench	2026-06-18T18:00Z	test_placeholder	1
archive-item-research-bench	2026-06-18T18:00Z	url_shortener	26
archive-item-research-bench	2026-06-18T18:00Z	wiki_self	10
archive-item-research-bench	2026-06-18T19:00Z	cors_proxy	32
archive-item-research-bench	2026-06-18T19:00Z	data_source_datausa	1
archive-item-research-bench	2026-06-18T19:00Z	data_source_library	5
archive-item-research-bench	2026-06-18T19:00Z	data_source_publishing	1
archive-item-research-bench	2026-06-18T19:00Z	fetch_proxy_markdown	14
archive-item-research-bench	2026-06-18T19:00Z	google_docs	2
archive-item-research-bench	2026-06-18T19:00Z	jq_json_relay	13
archive-item-research-bench	2026-06-18T19:00Z	test_placeholder	1
archive-item-research-bench	2026-06-18T20:00Z	cors_proxy	7
archive-item-research-bench	2026-06-18T20:00Z	data_source_sec_investor	8
archive-item-research-bench	2026-06-18T20:00Z	fetch_proxy_markdown	2
archive-item-research-bench	2026-06-18T20:00Z	google_docs	16
archive-item-research-bench	2026-06-18T20:00Z	jq_json_relay	9
archive-item-research-bench	2026-06-18T20:00Z	test_placeholder	1
archive-item-research-bench	2026-06-18T21:00Z	archive_wayback	1
archive-item-research-bench	2026-06-18T21:00Z	cors_proxy	15
archive-item-research-bench	2026-06-18T21:00Z	data_source_library	2
