base_host	tier_a_rows	distinct_urls	active_days	first	last	top_wrappers	base_host_in_corpus	base_host_known_to_termina	urls_already_in_corpus	sample_url
thrill-data.com	2667	1338	31	2026-04-16 11:35	2026-06-13 23:12	(none) (2322); r.jina.ai (319); api.codetabs.com (18)	no	no	0	www.thrill-data.com/waits/attraction/tokyo-disneyland/peterpansflight/2024/01/01
whssgrgupkar.com	1975	93	2	2026-05-11 03:46	2026-05-12 21:37	markdown.new (929); (none) (850); pure.md (69)	no	no	0	www.whssgrgupkar.com/history/
whstrustpkl.com	1527	839	4	2026-05-10 22:57	2026-05-13 01:46	allorigins.hexlet.app (808); (none) (310); markdown.new (254)	no	no	0	www.whstrustpkl.com/about/
whssgr.com	1295	76	4	2026-05-10 06:26	2026-05-13 01:40	(none) (611); markdown.new (574); pure.md (40)	no	no	0	cors-anywhere.fly.dev/https://whssgr.com/history/
httpbin.org	1071	990	54	2026-04-17 22:43	2026-09-14 08:35	httpbin.org (1065); r.jina.ai > httpbin.org (5); html.microlink.io (1)	yes	yes	4	httpbin.org/base64/PGh0bWw+PGJvZHk+PHByZSBpZD0ib3V0Ij5zdGFydDwvcHJlPjxzY3JpcHQ+CmZldGNoKCdodHRwczovL3d3dy50aHJpbGwtZGF0YS5jb20vd2FpdHMvZ3JhcGgvcXVpY2svcmlkZWxsP2lkPTE1ODAlMjZkYXRlU3RhcnQ9MjAyMi0xMi0zMCcpLnRoZW4ocj0+ci50Z
viz.aihw.gov.au	654	519	3	2026-06-18 15:15	2026-06-21 21:35	(none) (654)	yes	yes	0	viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&:showTabs=false&State%2FTerritory=Victoria%20%28Vic.%29&tb=1781954927465206136
legacywp25.acleddata.com	641	60	2	2026-05-13 01:20	2026-05-14 14:20	(none) (624); markdown.new (17)	no	no	0	legacywp25.acleddata.com/wp-content/collector/actor_list.csv
mail.whssgr.com	628	30	4	2026-05-10 18:16	2026-05-13 00:21	(none) (618); markdown.new (6); pure.md (2)	no	no	0	mail.whssgr.com/history/
sec.gov	455	73	1	2026-06-18 04:23	2026-06-18 23:27	(none) (283); allorigins.hexlet.app (69); proxy.corsfix.com (37)	yes	yes	393	proxy.corsfix.com/?url=https://www.sec.gov/files/county.json?x=abcdef12
markdown.new	407	123	16	2026-05-11 00:57	2026-06-17 11:57	markdown.new (407)	yes	yes	0	markdown.new
portal.max.gov	399	67	2	2026-05-25 18:55	2026-05-26 22:59	markdown.new (214); (none) (173); pure.md (9)	yes	yes	300	markdown.new/portal.max.gov/portal/document/SF133/Budget/attachments/2346466575/2374423602.pdf
vizhub.healthdata.org	354	52	4	2026-05-27 02:21	2026-06-02 09:03	(none) (212); cors.bwa.workers.dev (111); jqp.vercel.app (9)	yes	yes	252	vizhub.healthdata.org/lbd/api/v1/themes/anemia/schemas/annual/info/aggregate/components/1?location_id=35%26severity=sev%26metric=prev%26stat=mean
history.powys.org.uk	306	45	2	2026-05-12 03:27	2026-05-13 06:19	(none) (130); markdown.microlink.io (72); markdown.new (29)	no	no	0	history.powys.org.uk/school1/brecon/fryn1840.shtml
api.dataafrica.io	294	99	9	2026-05-10 12:34	2026-06-19 22:35	(none) (290); api.cors.lol (1); jqp.vercel.app (1)	no	yes	0	api.cors.lol/?url=https%3A%2F%2Fapi.dataafrica.io%2Fattrs%2Flist%2F
example.com	270	75	24	2026-03-06 19:55	2026-06-21 21:13	markdown.new (119); r.jina.ai (42); markdown.microlink.io (19)	yes	no	171	r.jina.ai/http://example.com
acleddata.com	225	64	3	2026-05-12 16:07	2026-05-14 15:01	markdown.new (136); arquivo.pt (63); markdown.new > arquivo.pt (12)	no	no	0	md.succ.ai/https://acleddata.com/yemen-conflict-observatory
vizprod.aihw.gov.au	224	158	3	2026-06-19 13:14	2026-06-21 20:05	(none) (220); api.microlink.io (4)	yes	no	0	api.microlink.io/?url=https%3A%2F%2Fvizprod.aihw.gov.au%2Ft%2FPublic%2Fviews%2FPBSdashboardallATC1-ATC2medicines-Agegroup%2FPBSDashboard%3F%3AshowVizHome%3Dno%26%3Aembed%3Dy%26x%3D1781874812418781460&meta=false&function=
data.idph.state.ia.us	197	147	3	2026-05-13 19:50	2026-06-21 09:45	(none) (187); markdown.new (6); r.jina.ai (3)	yes	yes	0	markdown.new/convert?url=http%3A%2F%2Fdata.idph.state.ia.us%2Ft%2FIDPH-DataViz%2Fviews%2FAnnualThyroidCancer%2FAnnualThyroidCancer.csv%3F%3AshowVizHome%3Dno%26Gender%3DMale%26Age%2520Group%3D25%2520to%252044&x=1
iad.microlink.io	176	95	2	2026-05-13 23:45	2026-05-14 09:38	text.microlink.io (102); markdown.microlink.io (68); markdown.new (4)	no	no	0	markdown.microlink.io/https://iad.microlink.io/LyUatOvoJYUbr7zi3lDE7xPmPg_vAhFKf73M70XfGN1xlwXs39VGd39-rZpJAGRrbALClQfUkenhppX4LU8rKA.pdf
corsproxy.io	166	74	21	2026-03-24 20:18	2026-09-02 02:50	corsproxy.io (162); r.jina.ai > corsproxy.io (2); api.codetabs.com > corsproxy.io (2)	yes	no	0	corsproxy.io/?https://animeyubi.com/anime/allanime/E4rfr3gGZZZGCDsms/2=sub/
eu.httpbin.org	160	149	2	2026-06-20 20:16	2026-06-21 21:19	(none) (160)	yes	yes	0	eu.httpbin.org/get?x=2020
unctadstat-api.unctad.org	157	139	30	2026-04-26 16:27	2026-07-02 19:36	r.jina.ai (112); (none) (26); api.codetabs.com (13)	yes	no	0	r.jina.ai/http://https://unctadstat-api.unctad.org/datamart-api/US.PCI/2005/Categories
piv.max.gov	132	20	1	2026-05-26 04:57	2026-05-26 21:26	(none) (81); markdown.new (50); api.cors.lol (1)	yes	yes	109	piv.max.gov/portal/document/SF133/Budget/attachments/2346466575/2374423602.pdf
eurogamer.net	122	17	2	2026-05-18 11:47	2026-05-19 13:08	pure.md (59); markdown.new (47); allorigins.hexlet.app (6)	no	no	0	arquivo.pt//wayback/20240127052517id_/https://www.eurogamer.net/our-personal-top-five-games-of-2023
pie.dev	109	94	3	2026-06-18 06:38	2026-06-21 19:53	(none) (109)	no	no	0	pie.dev/base64/PCFkb2N0eXBlIGh0bWw-PG1ldGEgY2hhcnNldD11dGYtOD48c3R5bGU-I2xvZ3t3aGl0ZS1zcGFjZTpwcmUtd3JhcDtiYWNrZ3JvdW5kOndoaXRlO3Bvc2l0aW9uOnJlbGF0aXZlO3otaW5kZXg6OX08L3N0eWxlPjxkaXYgaWQ9bG9nPlNUQVJUXG48L2Rpdj48ZGl2IGlkP
api.datausa.io	83	41	8	2026-05-11 10:45	2026-06-19 19:47	(none) (81); r.jina.ai (1); markdown.new (1)	yes	yes	16	api.datausa.io
unctadstat.unctad.org	79	52	22	2026-04-27 12:28	2026-06-19 13:55	r.jina.ai (61); (none) (9); api.codetabs.com (6)	yes	no	0	r.jina.ai/http://unctadstat.unctad.org/map/PCI/pci-all.csv
login.max.gov	79	14	2	2026-05-26 06:26	2026-05-27 07:26	markdown.new (76); pure.md (2); md.succ.ai (1)	yes	yes	71	markdown.new/https://login.max.gov/portal/document/SF133/Budget/attachments/2346466575/2374423602.pdf
px.hagstofa.is	72	19	5	2026-05-10 09:43	2026-05-19 04:11	(none) (71); r.jina.ai (1)	no	yes	0	px.hagstofa.is/pxen/api/v1/en/Samfelag/
htmlpreview.github.io	56	54	3	2026-05-11 23:58	2026-05-13 09:15	(none) (56)	no	no	0	htmlpreview.github.io/?https://paste.rs/Y0xxW
alexandria.ucsb.edu	56	16	2	2026-05-16 05:17	2026-05-17 19:38	(none) (24); pure.md (10); r.jina.ai (9)	yes	no	0	alexandria.ucsb.edu/catalog?q=Territory
api.usaspending.gov	56	12	6	2026-05-23 16:44	2026-05-29 21:42	(none) (52); markdown.new (4)	yes	yes	52	api.usaspending.gov/api/v2/agency/028/budgetary_resources/
httpbun.com	42	42	3	2026-06-18 09:50	2026-06-21 20:08	(none) (41); cors.bwa.workers.dev (1)	no	no	0	httpbun.com/base64/PGh0bWw%2BPGhlYWQ%2BPHRpdGxlPlNUQVJUPC90aXRsZT48L2hlYWQ%2BPGJvZHk%2BPHNjcmlwdD5mdW5jdGlvbiBMKHgpe2RvY3VtZW50LnRpdGxlPVN0cmluZyh4KS5zbGljZSgwLDIwMCk7bmV3IEltYWdlKCkuc3JjPSdodHRwczovL2h0dHBidW4uY29tL3N0Y
newspapers.com	40	24	3	2026-05-13 00:26	2026-05-15 07:45	cors.io (30); markdown.new (7); proxy.corsfix.com (1)	no	no	0	cors.io/?url=https%3A%2F%2Fwww.newspapers.com%2Fapi%2Fclient%2Fimage%2Focr%2F%3Fpage%3D587043223%26type%3Dclipping%26objectId%3D0%26x%3D100%26y%3D1200%26width%3D1000%26height%3D3000
macrotrends.net	37	18	5	2026-05-10 09:45	2026-05-25 07:34	r.jina.ai (13); arquivo.pt (11); markdown.new (5)	no	no	0	r.jina.ai/http://www.macrotrends.net/economic-data/2533/INDEXDAILY
datastudio.google.com	33	20	2	2026-05-13 21:59	2026-05-14 12:20	api.microlink.io (26); markdown.microlink.io (2); html.microlink.io (2)	no	no	0	api.microlink.io/?url=https%3A%2F%2Fdatastudio.google.com%2Freporting%2Fbeb9619f-674c-4512-92e4-541e6ff5b1ab%2Fpage%2FpYB6B%26pdf=true
api.worldpoverty.io	33	14	10	2026-05-15 19:44	2026-06-20 11:54	(none) (33)	no	yes	0	api.worldpoverty.io
nmdigital.unm.edu	28	8	2	2026-05-25 22:09	2026-05-26 19:50	markdown.new (27); pure.md (1)	no	no	0	markdown.new/https://nmdigital.unm.edu/iiif/2/valmora:136;2/0,1340,1202,222/full/0/default.jpg?format=foo
web.archive.org	25	16	6	2026-05-12 12:32	2026-06-01 15:14	markdown.new > web.archive.org (19); pure.md > web.archive.org (4); cors.bwa.workers.dev > web.archive.org (1)	yes	yes	4	markdown.new/web.archive.org/web/20240813125117id_/www.drivelah.sg/blog/getting-around-singapore-comparing-ride-hailing-taxis-and-car-sharing-services-clyq158ca000ag0d2bf905d69
llanfrynachcommunitycouncil.gov.uk	25	9	2	2026-05-12 13:06	2026-05-13 05:25	markdown.microlink.io (12); markdown.new (8); api.microlink.io (5)	no	no	0	markdown.microlink.io/https://llanfrynachcommunitycouncil.gov.uk/wp-content/uploads/2024/12/Jacks-History-Project.pdf
