host	roles	tier_a_rows	first	last	sources	sample_url
thrill-data.com	base,page	4989	2026-04-16 11:35	2026-06-13 23:12	urlquery	www.thrill-data.com/waits/attraction/tokyo-disneyland/peterpansflight/2024/01/01
whssgrgupkar.com	base,page	2825	2026-05-11 03:46	2026-05-12 21:37	urlquery	www.whssgrgupkar.com/history/
whssgr.com	base,page	1906	2026-05-10 06:26	2026-05-13 01:40	urlquery	cors-anywhere.fly.dev/https://whssgr.com/history/
whstrustpkl.com	base,page	1837	2026-05-10 22:57	2026-05-13 01:46	urlquery	www.whstrustpkl.com/about/
legacywp25.acleddata.com	base,page	1265	2026-05-13 01:20	2026-05-14 14:20	urlquery	legacywp25.acleddata.com/wp-content/collector/actor_list.csv
mail.whssgr.com	base,page	1246	2026-05-10 18:16	2026-05-13 00:21	urlquery	mail.whssgr.com/history/
history.powys.org.uk	base,page	436	2026-05-12 03:27	2026-05-13 06:19	urlquery	history.powys.org.uk/school1/brecon/fryn1840.shtml
text.microlink.io	page,wrapper	248	2026-05-11 12:24	2026-05-23 23:46	urlquery	text.microlink.io/https://www.whstrustpkl.com/about/
acleddata.com	base	225	2026-05-12 16:07	2026-05-14 15:01	urlquery	md.succ.ai/https://acleddata.com/yemen-conflict-observatory
pie.dev	base,page	218	2026-06-18 06:38:29	2026-06-21 19:53	urlquery,urlscan	pie.dev/base64/PCFkb2N0eXBlIGh0bWw-PG1ldGEgY2hhcnNldD11dGYtOD48c3R5bGU-I2xvZ3t3aGl0ZS1zcGFjZTpwcmUtd3JhcDtiYWNrZ3JvdW5kOndoaXRlO3Bvc2l0aW9uOnJlbGF0aXZlO3otaW5kZXg6OX08L3N0eWxlPjxkaXYgaWQ9bG9nPlNUQVJUX
arquivo.pt	base,page,wrapper	194	2026-05-11 23:31	2026-06-17 12:20	urlquery	markdown.new/arquivo.pt/wayback/20210912075601id_/www.macrotrends.net/2533/cotton-prices-historical-chart-data
iad.microlink.io	base,page	178	2026-05-13 23:45	2026-05-14 09:38	urlquery	markdown.microlink.io/https://iad.microlink.io/LyUatOvoJYUbr7zi3lDE7xPmPg_vAhFKf73M70XfGN1xlwXs39VGd39-rZpJAGRrbALClQfUkenhppX4LU8rKA.pdf
