target	source	kind	rows_kept	newest	oldest	stopped_by
md.succ.ai	instructions	host	162	2026-06-18 23:25	2026-05-11 11:25	last_page
vanderbi.lt	instructions	host	2	2026-06-18 18:22	2026-06-17 08:54	last_page
bitily.in	instructions	host	9	2026-05-29 23:45	2026-03-21 08:49	last_page
yourls.pro	instructions	host	19	2026-05-29 22:33	2026-05-26 15:02	last_page
yourls.shop	instructions	host	0	None	None	empty_page
yourls.website	instructions	host	1	2026-06-18 18:06	2026-06-18 18:06	last_page
yourls.space	instructions	host	0	None	None	empty_page
goto.unm.edu	instructions	host	0	None	None	empty_page
r.jina.ai	instructions	host	941	2026-08-19 04:35	2025-09-16 01:03	before_window
httpbin.org	instructions	host	663	2026-09-15 00:47	2026-06-20 09:45	last_page
allorigins.hexlet.app	instructions	host	94	2026-06-18 22:35	2026-06-17 11:31	last_page
da.gd	instructions	host	189	2026-07-13 20:24	2023-11-06 16:57	before_window
markdown.new	instructions	host	2400	2026-06-18 19:32	2026-05-11 16:15	page_cap
pure.md	instructions	host	275	2026-06-18 21:13	2026-05-10 23:48	last_page
proxymule.com	instructions	host	18	2026-06-18 19:36	2026-05-28 10:43	last_page
jqp.vercel.app	instructions	host	17	2026-06-18 18:19	2026-05-27 12:46	last_page
api.microlink.io	instructions	host	768	2026-09-12 13:16	2025-09-01 08:46	before_window
cors-get-proxy.sirjosh.workers.dev	instructions	host	13	2026-06-17 11:40	2026-01-17 17:04	last_page
cors.bwa.workers.dev	instructions	host	142	2026-06-17 11:35	2026-05-13 01:55	last_page
cors.ripka.workers.dev	instructions	host	0	None	None	empty_page
jsonhero.io	instructions	host	2	2026-05-29 23:06	2026-05-29 22:48	last_page
urltomarkdown	instructions	term	0	None	None	empty_page
wikiservice.at	corpus	host	1	2026-05-27 01:33	2026-05-27 01:33	last_page
tmcleod.org	corpus	host	0	None	None	empty_page
texteditors.org	corpus	host	0	None	None	empty_page
usemod.org	corpus	host	1	2025-11-27 00:59	2025-11-27 00:59	last_page
ludism.org	corpus	host	0	None	None	empty_page
prowiki.org	corpus	host	0	None	None	empty_page
dorfwiki.org	corpus	host	0	None	None	empty_page
api.counterapi.dev	corpus	host	20	2026-07-29 05:46	2025-03-16 06:27	last_page
countapi.mileshilliard.com	corpus	host	3	2026-08-08 13:51	2026-03-17 02:54	last_page
rmn.re	corpus	host	0	None	None	empty_page
lnkr.click	corpus	host	1	2026-08-14 19:50	2026-08-14 19:50	last_page
url.popcat.xyz	corpus	host	0	None	None	empty_page
uoft.me	corpus	host	0	None	None	empty_page
u.ethz.ch	corpus	host	1	2025-10-17 19:04	2025-10-17 19:04	last_page
md.dhr.wtf	corpus	host	0	None	None	empty_page
webcrawlerapi.com	corpus	host	0	None	None	empty_page
corsmirror.com	corpus	host	95	2026-06-18 18:05	2026-05-12 22:04	last_page
cors.hypnguyen.workers.dev	corpus	host	2	2026-05-13 01:33	2026-05-13 01:33	last_page
cloudflare-cors-anywhere.hanpengchen.workers.dev	corpus	host	20	2026-05-29 22:54	2026-05-11 18:39	last_page
