target	pattern	captures	first	last
md.succ.ai	md.succ.ai/*	0		
markdown.new	markdown.new/*	0		
pure.md	pure.md/*	0		
jqp.vercel.app	jqp.vercel.app/*	0		
proxymule.com	proxymule.com/*	0		
cors.bwa.workers.dev	cors.bwa.workers.dev/*	0		
cors.ripka.workers.dev	cors.ripka.workers.dev/*	0		
api.cors.lol	api.cors.lol/*	0		
corsmirror.com	corsmirror.com/*	0		
test.cors.workers.dev	test.cors.workers.dev/*	0		
proxy.corsfix.com	proxy.corsfix.com/*	0		
md.dhr.wtf	md.dhr.wtf/*	0		
webcrawlerapi.com	webcrawlerapi.com/*	0		
markdown.microlink.io	markdown.microlink.io/*	0		
text.microlink.io	text.microlink.io/*	0		
html.microlink.io	html.microlink.io/*	0		
allorigins.hexlet.app	allorigins.hexlet.app/*	0		
api.allorigins.win	api.allorigins.win/*	1	20260618062017	20260618062017
cors.hypnguyen.workers.dev	cors.hypnguyen.workers.dev/*	0		
cloudflare-cors-anywhere.hanpengchen.workers.dev	cloudflare-cors-anywhere.hanpengchen.workers.dev/*	0		
cors-get-proxy.sirjosh.workers.dev	cors-get-proxy.sirjosh.workers.dev/*	0		
platform.lemino.ai	platform.lemino.ai/*	0		
httpbingo.org	httpbingo.org/*	0		
httpbun.com	httpbun.com/*	0		
deelay.me	deelay.me/*	0		
vanderbi.lt	vanderbi.lt/*	0		
bitily.in	bitily.in/*	0		
app.bitily.in	app.bitily.in/*	0		
yourls.pro	yourls.pro/*	0		
yourls.shop	yourls.shop/*	0		
yourls.website	yourls.website/*	0		
yourls.space	yourls.space/*	0		
yourls.biz	yourls.biz/*	0		
yourls.pl	yourls.pl/*	0		
goto.unm.edu	goto.unm.edu/*	0		
uoft.me	uoft.me/*	0		
u.ethz.ch	u.ethz.ch/*	0		
rmn.re	rmn.re/*	0		
lnkr.click	lnkr.click/*	0		
2dd.pl	2dd.pl/*	0		
t.mdcdev.me	t.mdcdev.me/*	0		
url.popcat.xyz	url.popcat.xyz/*	0		
kodak.love	kodak.love/*	0		
zapro.si	zapro.si/*	0		
klickhier.at	klickhier.at/*	0		
api.counterapi.dev	api.counterapi.dev/*	0		
countapi.mileshilliard.com	countapi.mileshilliard.com/*	0		
wikiservice.at	wikiservice.at/*	0		
tmcleod.org	tmcleod.org/*	0		
texteditors.org	texteditors.org/*	0		
usemod.org	usemod.org/*	0		
netzwerkgegengewalt.org	netzwerkgegengewalt.org/*	0		
schulwiki.org	schulwiki.org/*	0		
dorfwiki.org	dorfwiki.org/*	0		
thrill-data.com	thrill-data.com/*	0		
whssgr.com	whssgr.com/*	0		
whssgrgupkar.com	whssgrgupkar.com/*	0		
whstrustpkl.com	whstrustpkl.com/*	0		
r.jina.ai	r.jina.ai/http*	0		
httpbin.org	httpbin.org/base64/*	0		
eu.httpbin.org	eu.httpbin.org/base64/*	0		
api.microlink.io	api.microlink.io/?url=*	0		
web.archive.org	web.archive.org/web/*id_/https://www.sec.gov/files/county.json*	0		
sec.gov	www.sec.gov/files/county.json*	0		
investor.gov	www.investor.gov/files/county.json*	0		
data.idph.state.ia.us	data.idph.state.ia.us/t/IDPH-DataViz/*	0		
viz.aihw.gov.au	viz.aihw.gov.au/t/Public/views/PBS*	0		
vizhub.healthdata.org	vizhub.healthdata.org/lbd/api/*	0		
api.datausa.io	api.datausa.io/tesseract/*	0		
