bucket	wiki	count
2026-06-13 00:00	buecher	32
2026-06-13 00:00	dse	1369
2026-06-13 00:00	fractal	285
2026-06-13 00:00	support	2
2026-06-13 00:00	wiki4d	24
2026-06-13 00:10	buecher	30
2026-06-13 00:10	culios	1
2026-06-13 00:10	dse	72
2026-06-13 00:10	fractal	282
2026-06-13 00:10	support	2
2026-06-13 00:10	wiki4d	23
2026-06-13 00:20	buecher	50
2026-06-13 00:20	dse	76
2026-06-13 00:20	fractal	306
2026-06-13 00:20	support	6
2026-06-13 00:20	wiki4d	26
2026-06-13 00:30	buecher	59
2026-06-13 00:30	dse	41
2026-06-13 00:30	fractal	289
2026-06-13 00:30	support	4
2026-06-13 00:30	wiki4d	33
2026-06-13 00:40	buecher	55
2026-06-13 00:40	dse	46
2026-06-13 00:40	fractal	270
2026-06-13 00:40	support	2
2026-06-13 00:40	wiki4d	26
2026-06-13 00:50	buecher	54
2026-06-13 00:50	dse	35
2026-06-13 00:50	fractal	273
2026-06-13 00:50	support	4
2026-06-13 00:50	wiki4d	11
2026-06-13 01:00	buecher	61
2026-06-13 01:00	dse	94
2026-06-13 01:00	fractal	276
2026-06-13 01:00	support	6
2026-06-13 01:00	wiki4d	27
2026-06-13 01:10	buecher	61
2026-06-13 01:10	dse	139
2026-06-13 01:10	fractal	297
2026-06-13 01:10	probier	1
2026-06-13 01:10	support	3
2026-06-13 01:10	wiki4d	26
2026-06-13 01:20	buecher	117
2026-06-13 01:20	dse	91
2026-06-13 01:20	fractal	273
2026-06-13 01:20	probier	1
2026-06-13 01:20	support	7
2026-06-13 01:20	wiki4d	26
2026-06-13 01:30	buecher	106
2026-06-13 01:30	dse	129
2026-06-13 01:30	fractal	270
2026-06-13 01:30	support	1
2026-06-13 01:30	wiki4d	28
2026-06-13 01:40	buecher	27
2026-06-13 01:40	dse	61
2026-06-13 01:40	fractal	313
2026-06-13 01:40	lions	1
2026-06-13 01:40	support	2
2026-06-13 01:40	wiki4d	25
2026-06-13 01:50	buecher	40
2026-06-13 01:50	culios	1
2026-06-13 01:50	dse	70
2026-06-13 01:50	fractal	420
2026-06-13 01:50	support	6
2026-06-13 01:50	wiki4d	28
2026-06-13 02:00	buecher	34
2026-06-13 02:00	culios	5
2026-06-13 02:00	dse	87
2026-06-13 02:00	fractal	299
2026-06-13 02:00	nausner	3
2026-06-13 02:00	support	10
2026-06-13 02:00	wiki4d	30
2026-06-13 02:10	buecher	71
2026-06-13 02:10	culios	2
2026-06-13 02:10	dse	238
2026-06-13 02:10	fractal	294
2026-06-13 02:10	lions	2
2026-06-13 02:10	nausner	1
2026-06-13 02:10	probier	5
2026-06-13 02:10	support	9
2026-06-13 02:10	wiki4d	31
2026-06-13 02:20	buecher	45
2026-06-13 02:20	dse	65
2026-06-13 02:20	fractal	372
2026-06-13 02:20	probier	1
2026-06-13 02:20	support	13
2026-06-13 02:20	wiki4d	27
2026-06-13 02:30	buecher	27
2026-06-13 02:30	dse	60
2026-06-13 02:30	fractal	345
2026-06-13 02:30	probier	2
2026-06-13 02:30	support	5
2026-06-13 02:30	wiki4d	40
2026-06-13 02:40	buecher	60
2026-06-13 02:40	culios	7
2026-06-13 02:40	dse	123
2026-06-13 02:40	fractal	308
2026-06-13 02:40	probier	1
2026-06-13 02:40	support	4
2026-06-13 02:40	wiki4d	27
2026-06-13 02:50	buecher	25
2026-06-13 02:50	dse	113
2026-06-13 02:50	fractal	367
2026-06-13 02:50	support	12
2026-06-13 02:50	wiki4d	40
2026-06-13 03:00	buecher	39
2026-06-13 03:00	dse	262
2026-06-13 03:00	fractal	293
2026-06-13 03:00	support	8
2026-06-13 03:00	wiki4d	53
2026-06-13 03:10	buecher	17
2026-06-13 03:10	dse	153
2026-06-13 03:10	fractal	326
2026-06-13 03:10	support	4
2026-06-13 03:10	wiki4d	33
2026-06-13 03:20	buecher	54
2026-06-13 03:20	culios	1
2026-06-13 03:20	dse	207
2026-06-13 03:20	fractal	311
2026-06-13 03:20	lions	1
2026-06-13 03:20	support	5
2026-06-13 03:20	wiki4d	35
2026-06-13 03:30	buecher	50
2026-06-13 03:30	dse	177
2026-06-13 03:30	fractal	368
2026-06-13 03:30	probier	2
2026-06-13 03:30	support	5
2026-06-13 03:30	wiki4d	35
2026-06-13 03:40	buecher	18
2026-06-13 03:40	culios	1
2026-06-13 03:40	dse	223
2026-06-13 03:40	fractal	321
2026-06-13 03:40	lions	1
2026-06-13 03:40	probier	1
2026-06-13 03:40	support	5
2026-06-13 03:40	wiki4d	31
2026-06-13 03:50	buecher	56
2026-06-13 03:50	dse	334
2026-06-13 03:50	fractal	295
2026-06-13 03:50	nausner	1
2026-06-13 03:50	support	15
2026-06-13 03:50	wiki4d	26
2026-06-13 04:00	buecher	27
2026-06-13 04:00	culios	5
2026-06-13 04:00	dse	249
2026-06-13 04:00	fractal	366
2026-06-13 04:00	nausner	1
2026-06-13 04:00	support	9
2026-06-13 04:00	wiki4d	31
2026-06-13 04:10	buecher	55
2026-06-13 04:10	dse	302
2026-06-13 04:10	fractal	327
2026-06-13 04:10	probier	1
2026-06-13 04:10	support	3
2026-06-13 04:10	wiki4d	43
2026-06-13 04:20	buecher	39
2026-06-13 04:20	culios	1
2026-06-13 04:20	dse	138
2026-06-13 04:20	fractal	345
2026-06-13 04:20	probier	10
2026-06-13 04:20	support	13
2026-06-13 04:20	wiki4d	22
2026-06-13 04:30	buecher	45
2026-06-13 04:30	culios	2
2026-06-13 04:30	dse	106
2026-06-13 04:30	fractal	353
2026-06-13 04:30	support	10
2026-06-13 04:30	wiki4d	75
2026-06-13 04:40	buecher	40
2026-06-13 04:40	culios	3
2026-06-13 04:40	dse	69
2026-06-13 04:40	fractal	481
2026-06-13 04:40	nausner	2
2026-06-13 04:40	support	9
2026-06-13 04:40	wiki4d	28
2026-06-13 04:50	buecher	38
2026-06-13 04:50	dse	257
2026-06-13 04:50	fractal	447
2026-06-13 04:50	lions	1
2026-06-13 04:50	probier	1
2026-06-13 04:50	support	11
2026-06-13 04:50	wiki4d	16
2026-06-13 05:00	buecher	44
2026-06-13 05:00	dse	184
2026-06-13 05:00	fractal	348
2026-06-13 05:00	support	9
2026-06-13 05:00	wiki4d	34
2026-06-13 05:10	buecher	61
2026-06-13 05:10	culios	4
2026-06-13 05:10	dse	71
2026-06-13 05:10	fractal	331
2026-06-13 05:10	nausner	1
2026-06-13 05:10	support	3
2026-06-13 05:10	wiki4d	31
2026-06-13 05:20	buecher	60
2026-06-13 05:20	culios	3
2026-06-13 05:20	dse	94
2026-06-13 05:20	fractal	396
2026-06-13 05:20	support	8
2026-06-13 05:20	wiki4d	18
2026-06-13 05:30	buecher	37
2026-06-13 05:30	dse	115
2026-06-13 05:30	fractal	382
2026-06-13 05:30	support	5
2026-06-13 05:30	wiki4d	28
2026-06-13 05:40	buecher	43
2026-06-13 05:40	dse	143
2026-06-13 05:40	fractal	314
2026-06-13 05:40	support	7
2026-06-13 05:40	wiki4d	24
2026-06-13 05:50	buecher	93
2026-06-13 05:50	culios	4
2026-06-13 05:50	dse	82
2026-06-13 05:50	fractal	431
2026-06-13 05:50	support	10
2026-06-13 05:50	wiki4d	23
2026-06-13 06:00	buecher	84
2026-06-13 06:00	dse	199
2026-06-13 06:00	fractal	301
2026-06-13 06:00	lions	1
2026-06-13 06:00	support	6
2026-06-13 06:00	wiki4d	45
2026-06-13 06:10	buecher	76
2026-06-13 06:10	culios	1
2026-06-13 06:10	dse	152
2026-06-13 06:10	fractal	302
2026-06-13 06:10	support	3
2026-06-13 06:10	wiki4d	46
2026-06-13 06:20	buecher	60
2026-06-13 06:20	dse	162
2026-06-13 06:20	fractal	349
2026-06-13 06:20	probier	2
2026-06-13 06:20	support	7
2026-06-13 06:20	wiki4d	24
2026-06-13 06:30	buecher	34
2026-06-13 06:30	culios	1
2026-06-13 06:30	dse	175
2026-06-13 06:30	fractal	308
2026-06-13 06:30	probier	3
2026-06-13 06:30	support	5
2026-06-13 06:30	wiki4d	19
2026-06-13 06:40	buecher	42
2026-06-13 06:40	culios	2
2026-06-13 06:40	dse	197
2026-06-13 06:40	fractal	298
2026-06-13 06:40	nausner	1
2026-06-13 06:40	support	3
2026-06-13 06:40	wiki4d	16
2026-06-13 06:50	buecher	68
2026-06-13 06:50	culios	3
2026-06-13 06:50	dse	144
2026-06-13 06:50	fractal	423
2026-06-13 06:50	support	10
2026-06-13 06:50	wiki4d	32
2026-06-13 07:00	buecher	64
2026-06-13 07:00	culios	7
2026-06-13 07:00	dse	165
2026-06-13 07:00	fractal	322
2026-06-13 07:00	support	4
2026-06-13 07:00	wiki4d	51
2026-06-13 07:10	buecher	67
2026-06-13 07:10	dse	235
2026-06-13 07:10	fractal	286
2026-06-13 07:10	support	13
2026-06-13 07:10	wiki4d	31
2026-06-13 07:20	buecher	63
2026-06-13 07:20	culios	4
2026-06-13 07:20	dse	291
2026-06-13 07:20	fractal	365
2026-06-13 07:20	nausner	1
2026-06-13 07:20	support	6
2026-06-13 07:20	wiki4d	145
2026-06-13 07:30	buecher	46
2026-06-13 07:30	dse	403
2026-06-13 07:30	fractal	364
2026-06-13 07:30	lions	1
2026-06-13 07:30	support	3
2026-06-13 07:30	wiki4d	58
2026-06-13 07:40	buecher	56
2026-06-13 07:40	culios	1
2026-06-13 07:40	dse	407
2026-06-13 07:40	fractal	285
2026-06-13 07:40	support	5
2026-06-13 07:40	wiki4d	27
2026-06-13 07:50	buecher	62
2026-06-13 07:50	culios	2
2026-06-13 07:50	dse	467
2026-06-13 07:50	fractal	284
2026-06-13 07:50	support	5
2026-06-13 07:50	wiki4d	21
2026-06-13 08:00	buecher	55
2026-06-13 08:00	dse	465
2026-06-13 08:00	fractal	300
2026-06-13 08:00	probier	2
2026-06-13 08:00	support	12
2026-06-13 08:00	wiki4d	33
2026-06-13 08:10	buecher	85
2026-06-13 08:10	culios	1
2026-06-13 08:10	dse	395
2026-06-13 08:10	fractal	357
2026-06-13 08:10	nausner	2
2026-06-13 08:10	support	6
2026-06-13 08:10	wiki4d	33
2026-06-13 08:20	buecher	72
2026-06-13 08:20	dse	462
2026-06-13 08:20	fractal	224
2026-06-13 08:20	support	12
2026-06-13 08:20	wiki4d	29
2026-06-13 08:30	buecher	71
2026-06-13 08:30	dse	456
2026-06-13 08:30	fractal	81
2026-06-13 08:30	support	10
2026-06-13 08:30	wiki4d	31
2026-06-13 08:40	buecher	57
2026-06-13 08:40	culios	1
2026-06-13 08:40	dse	377
2026-06-13 08:40	fractal	135
2026-06-13 08:40	nausner	2
2026-06-13 08:40	probier	1
2026-06-13 08:40	support	16
2026-06-13 08:40	wiki4d	34
2026-06-13 08:50	buecher	21
2026-06-13 08:50	culios	2
2026-06-13 08:50	dse	554
2026-06-13 08:50	fractal	232
2026-06-13 08:50	support	7
2026-06-13 08:50	wiki4d	34
2026-06-13 09:00	buecher	13
2026-06-13 09:00	dse	587
2026-06-13 09:00	fractal	93
2026-06-13 09:00	support	7
2026-06-13 09:00	wiki4d	11
2026-06-13 09:10	buecher	56
2026-06-13 09:10	culios	1
2026-06-13 09:10	dse	519
2026-06-13 09:10	fractal	106
2026-06-13 09:10	support	8
2026-06-13 09:10	wiki4d	21
2026-06-13 09:20	buecher	113
2026-06-13 09:20	dse	698
2026-06-13 09:20	fractal	166
2026-06-13 09:20	support	2
2026-06-13 09:20	wiki4d	51
2026-06-13 09:30	buecher	53
2026-06-13 09:30	culios	1
2026-06-13 09:30	dse	523
2026-06-13 09:30	fractal	370
2026-06-13 09:30	support	6
2026-06-13 09:30	wiki4d	32
2026-06-13 09:40	buecher	60
2026-06-13 09:40	culios	1
2026-06-13 09:40	dse	507
2026-06-13 09:40	fractal	301
2026-06-13 09:40	support	5
2026-06-13 09:40	wiki4d	32
2026-06-13 09:50	buecher	66
2026-06-13 09:50	culios	1
2026-06-13 09:50	dse	616
2026-06-13 09:50	fractal	269
2026-06-13 09:50	support	7
2026-06-13 09:50	wiki4d	23
2026-06-13 10:00	buecher	29
2026-06-13 10:00	culios	1
2026-06-13 10:00	dse	485
2026-06-13 10:00	fractal	280
