date	wiki	count
2026-02-28	buecher	576
2026-02-28	culios	1
2026-02-28	dse	336
2026-02-28	fractal	877
2026-02-28	probier	1
2026-02-28	support	39
2026-02-28	wiki4d	265
2026-03-01	buecher	9888
2026-03-01	culios	73
2026-03-01	dse	8629
2026-03-01	fractal	21068
2026-03-01	lions	36
2026-03-01	nausner	88
2026-03-01	probier	35
2026-03-01	support	569
2026-03-01	wiki4d	7726
2026-03-02	buecher	8505
2026-03-02	culios	124
2026-03-02	dse	6887
2026-03-02	fractal	20113
2026-03-02	lions	26
2026-03-02	nausner	141
2026-03-02	probier	34
2026-03-02	support	876
2026-03-02	wiki4d	6749
2026-03-03	buecher	5572
2026-03-03	culios	169
2026-03-03	dse	8260
2026-03-03	fractal	28183
2026-03-03	lions	33
2026-03-03	nausner	117
2026-03-03	probier	44
2026-03-03	support	955
2026-03-03	wiki4d	6472
2026-03-04	buecher	4983
2026-03-04	culios	90
2026-03-04	dse	4611
2026-03-04	fractal	17529
2026-03-04	lions	35
2026-03-04	nausner	26
2026-03-04	probier	7
2026-03-04	support	618
2026-03-04	wiki4d	6074
2026-03-05	buecher	4049
2026-03-05	culios	79
2026-03-05	dse	5613
2026-03-05	fractal	14676
2026-03-05	lions	18
2026-03-05	nausner	54
2026-03-05	probier	27
2026-03-05	support	491
2026-03-05	wiki4d	4374
2026-03-06	buecher	4992
2026-03-06	culios	83
2026-03-06	dse	9554
2026-03-06	fractal	13982
2026-03-06	lions	17
2026-03-06	nausner	39
2026-03-06	probier	14
2026-03-06	support	600
2026-03-06	wiki4d	5397
2026-03-07	buecher	4868
2026-03-07	culios	42
2026-03-07	dse	6868
2026-03-07	fractal	16163
2026-03-07	lions	25
2026-03-07	nausner	58
2026-03-07	probier	6
2026-03-07	support	676
2026-03-07	wiki4d	4483
2026-03-08	buecher	7539
2026-03-08	culios	163
2026-03-08	dse	7881
2026-03-08	fractal	18694
2026-03-08	lions	45
2026-03-08	nausner	118
2026-03-08	probier	38
2026-03-08	support	1024
2026-03-08	wiki4d	5236
2026-03-09	buecher	4087
2026-03-09	culios	58
2026-03-09	dse	5052
2026-03-09	fractal	19875
2026-03-09	lions	23
2026-03-09	nausner	61
2026-03-09	probier	15
2026-03-09	support	692
2026-03-09	wiki4d	4829
2026-03-10	buecher	4625
2026-03-10	culios	93
2026-03-10	dse	8326
2026-03-10	fractal	16679
2026-03-10	lions	9
2026-03-10	nausner	129
2026-03-10	probier	58
2026-03-10	support	1055
2026-03-10	wiki4d	9986
2026-03-11	buecher	8000
2026-03-11	culios	169
2026-03-11	dse	6884
2026-03-11	fractal	17408
2026-03-11	lions	55
2026-03-11	nausner	251
2026-03-11	probier	53
2026-03-11	support	2175
2026-03-11	wiki4d	3460
2026-03-12	buecher	6594
2026-03-12	culios	92
2026-03-12	dse	10723
2026-03-12	fractal	18273
2026-03-12	lions	32
2026-03-12	nausner	84
2026-03-12	probier	49
2026-03-12	support	1248
2026-03-12	wiki4d	5808
2026-03-13	buecher	6747
2026-03-13	culios	123
2026-03-13	dse	8556
2026-03-13	fractal	22561
2026-03-13	lions	57
2026-03-13	nausner	174
2026-03-13	probier	35
2026-03-13	support	1825
2026-03-13	wiki4d	5985
2026-03-14	buecher	6866
2026-03-14	culios	173
2026-03-14	dse	7627
2026-03-14	fractal	24604
2026-03-14	lions	49
2026-03-14	nausner	61
2026-03-14	probier	68
2026-03-14	support	1491
2026-03-14	wiki4d	6292
2026-03-15	buecher	5053
2026-03-15	culios	278
2026-03-15	dse	7730
2026-03-15	fractal	19079
2026-03-15	lions	26
2026-03-15	nausner	108
2026-03-15	probier	86
2026-03-15	support	728
2026-03-15	wiki4d	5132
2026-03-16	buecher	6959
2026-03-16	culios	119
2026-03-16	dse	6644
2026-03-16	fractal	20048
2026-03-16	lions	24
2026-03-16	nausner	72
2026-03-16	probier	29
2026-03-16	support	1076
2026-03-16	wiki4d	4571
2026-03-17	buecher	8204
2026-03-17	culios	182
2026-03-17	dse	11147
2026-03-17	fractal	24287
2026-03-17	lions	20
2026-03-17	nausner	119
2026-03-17	probier	20
2026-03-17	support	1256
2026-03-17	wiki4d	4926
2026-03-18	buecher	7601
2026-03-18	culios	146
2026-03-18	dse	10428
2026-03-18	fractal	24306
2026-03-18	lions	62
2026-03-18	nausner	138
2026-03-18	probier	20
2026-03-18	support	1424
2026-03-18	wiki4d	4655
2026-03-19	buecher	6257
2026-03-19	culios	142
2026-03-19	dse	12986
2026-03-19	fractal	31772
2026-03-19	lions	34
2026-03-19	nausner	83
2026-03-19	probier	41
2026-03-19	support	1638
2026-03-19	wiki4d	5648
2026-03-20	buecher	8801
2026-03-20	culios	149
2026-03-20	dse	12402
2026-03-20	fractal	31589
2026-03-20	lions	52
2026-03-20	nausner	117
2026-03-20	probier	80
2026-03-20	support	1757
2026-03-20	wiki4d	5359
2026-03-21	buecher	8274
2026-03-21	culios	212
2026-03-21	dse	18477
2026-03-21	fractal	34338
2026-03-21	lions	88
2026-03-21	nausner	136
2026-03-21	probier	74
2026-03-21	support	1730
2026-03-21	wiki4d	7721
2026-03-22	buecher	10027
2026-03-22	culios	324
2026-03-22	dse	20296
2026-03-22	fractal	38988
2026-03-22	lions	57
2026-03-22	nausner	244
2026-03-22	probier	77
2026-03-22	support	2037
2026-03-22	wiki4d	7875
2026-03-23	buecher	10968
2026-03-23	culios	438
2026-03-23	dse	15359
2026-03-23	fractal	48212
2026-03-23	lions	63
2026-03-23	nausner	186
2026-03-23	probier	88
2026-03-23	support	2763
2026-03-23	wiki4d	5866
2026-03-24	buecher	12424
2026-03-24	culios	281
2026-03-24	dse	17213
2026-03-24	fractal	39233
2026-03-24	lions	96
2026-03-24	nausner	177
2026-03-24	probier	42
2026-03-24	support	2420
2026-03-24	wiki4d	5790
2026-03-25	buecher	12517
2026-03-25	culios	227
2026-03-25	dse	13072
2026-03-25	fractal	36365
2026-03-25	lions	75
2026-03-25	nausner	168
2026-03-25	probier	34
2026-03-25	support	2445
2026-03-25	wiki4d	6682
2026-03-26	buecher	11331
2026-03-26	culios	167
2026-03-26	dse	12211
2026-03-26	fractal	25872
2026-03-26	lions	23
2026-03-26	nausner	100
2026-03-26	probier	22
2026-03-26	support	1831
2026-03-26	wiki4d	5932
2026-03-27	buecher	10302
2026-03-27	culios	187
2026-03-27	dse	14981
2026-03-27	fractal	31026
2026-03-27	lions	62
2026-03-27	nausner	175
2026-03-27	probier	40
2026-03-27	support	2102
2026-03-27	wiki4d	8925
2026-03-28	buecher	10912
2026-03-28	culios	151
2026-03-28	dse	7761
2026-03-28	fractal	19054
2026-03-28	lions	70
2026-03-28	nausner	253
2026-03-28	probier	46
2026-03-28	support	1992
2026-03-28	wiki4d	14469
2026-03-29	buecher	8384
2026-03-29	culios	158
2026-03-29	dse	12226
2026-03-29	fractal	20073
2026-03-29	lions	94
2026-03-29	nausner	80
2026-03-29	probier	37
2026-03-29	support	1142
2026-03-29	wiki4d	5437
2026-03-30	buecher	8038
2026-03-30	culios	103
2026-03-30	dse	7954
2026-03-30	fractal	18344
2026-03-30	lions	47
2026-03-30	nausner	118
2026-03-30	probier	9
2026-03-30	support	1147
2026-03-30	wiki4d	4842
2026-03-31	buecher	10727
2026-03-31	culios	587
2026-03-31	dse	9077
2026-03-31	fractal	20205
2026-03-31	lions	58
2026-03-31	nausner	453
2026-03-31	probier	36
2026-03-31	support	3050
2026-03-31	wiki4d	5593
2026-04-01	buecher	11361
2026-04-01	culios	502
2026-04-01	dse	15546
2026-04-01	fractal	25557
2026-04-01	lions	72
2026-04-01	nausner	413
2026-04-01	probier	38
2026-04-01	support	1999
2026-04-01	wiki4d	7116
2026-04-02	buecher	10167
2026-04-02	culios	184
2026-04-02	dse	9385
2026-04-02	fractal	23820
2026-04-02	lions	38
2026-04-02	nausner	124
2026-04-02	probier	30
2026-04-02	support	1619
2026-04-02	wiki4d	6948
2026-04-03	buecher	27423
2026-04-03	culios	183
2026-04-03	dse	8513
2026-04-03	fractal	20723
2026-04-03	lions	32
2026-04-03	nausner	157
2026-04-03	probier	44
2026-04-03	support	1473
2026-04-03	wiki4d	4820
2026-04-04	buecher	11879
2026-04-04	culios	379
2026-04-04	dse	13709
2026-04-04	fractal	22206
2026-04-04	lions	147
2026-04-04	nausner	355
2026-04-04	probier	37
2026-04-04	support	2694
