wiki	ip	cidr	first_ts	last_ts	count
fractal	74.7.227.3	74.7.227.0/25	1775444203	1784313746	23199
fractal	74.7.243.225	74.7.243.128/25	1784053116	1784064251	18145
fractal	74.7.227.158	74.7.227.128/25	1776966075	1781093524	17337
fractal	74.7.227.156	74.7.227.128/25	1778885346	1788275389	16646
dse	74.7.227.9	74.7.227.0/25	1776907299	1789615708	14975
fractal	74.7.227.190	74.7.227.128/25	1778203919	1778448919	14744
fractal	74.7.241.29	74.7.241.0/25	1775443061	1775455323	14579
fractal	74.7.241.37	74.7.241.0/25	1776625621	1776880552	14567
fractal	74.7.242.25	74.7.242.0/25	1775444827	1775469132	14371
fractal	74.7.241.26	74.7.241.0/25	1785506040	1785689170	14178
fractal	74.7.242.16	74.7.242.0/25	1781442894	1781451912	13335
fractal	74.7.243.251	74.7.243.128/25	1775610323	1775618648	13180
fractal	74.7.241.20	74.7.241.0/25	1776625605	1776880030	12929
dse	74.7.227.33	74.7.227.0/25	1782377134	1787863215	11828
fractal	74.7.227.50	74.7.227.0/25	1780776574	1781111373	11730
fractal	74.7.227.33	74.7.227.0/25	1782588620	1783459634	11446
fractal	74.7.227.141	74.7.227.128/25	1787015701	1787023729	10872
dse	74.7.227.31	74.7.227.0/25	1783093060	1783098579	10461
fractal	74.7.243.221	74.7.243.128/25	1778189387	1780407510	10454
dse	74.7.243.205	74.7.243.128/25	1781775736	1782300699	10340
dse	74.7.242.45	74.7.242.0/25	1782333087	1783450522	10233
dse	74.7.241.28	74.7.241.0/25	1789608177	1789616457	10136
fractal	74.7.227.2	74.7.227.0/25	1778338579	1778344590	9790
fractal	74.7.227.184	74.7.227.128/25	1784054111	1784135519	9659
fractal	74.7.242.54	74.7.242.0/25	1787223230	1787229622	9544
fractal	74.7.227.20	74.7.227.0/25	1778223071	1778228808	9366
fractal	74.7.227.56	74.7.227.0/25	1787942934	1787952370	8730
dse	74.7.243.229	74.7.243.128/25	1783090083	1783096002	8702
dse	74.7.227.184	74.7.227.128/25	1783711866	1789574698	8532
fractal	74.7.242.55	74.7.242.0/25	1784872633	1785270189	8465
fractal	74.7.241.23	74.7.241.0/25	1788526816	1788540706	8463
dse	74.7.227.150	74.7.227.128/25	1789608166	1789614629	8389
fractal	74.7.227.128	74.7.227.128/25	1787374647	1787379541	8382
dse	74.7.242.13	74.7.242.0/25	1788541114	1788731360	7360
dse	74.7.242.25	74.7.242.0/25	1775443010	1783093996	7191
fractal	74.7.242.60	74.7.242.0/25	1788583386	1788708478	6844
fractal	74.7.243.230	74.7.243.128/25	1781370159	1786124881	6839
fractal	74.7.242.7	74.7.242.0/25	1778188096	1778196207	6810
fractal	74.7.242.13	74.7.242.0/25	1788544566	1788892171	5802
dse	74.7.227.153	74.7.227.128/25	1783089956	1783092972	5700
fractal	74.7.243.199	74.7.243.128/25	1774099410	1776880698	5311
dse	74.7.227.190	74.7.227.128/25	1778204284	1778508560	5272
fractal	74.7.242.42	74.7.242.0/25	1778190179	1778198852	5234
buecher	74.7.243.212	74.7.243.128/25	1772716223	1779301206	4834
fractal	74.7.227.179	74.7.227.128/25	1778569878	1779094687	4585
fractal	74.7.227.23	74.7.227.0/25	1781588876	1781688501	4475
dse	74.7.227.24	74.7.227.0/25	1777011598	1781039341	4474
fractal	74.7.243.212	74.7.243.128/25	1773178247	1778727665	4135
fractal	74.7.241.47	74.7.241.0/25	1784939269	1784942335	4034
dse	74.7.243.221	74.7.243.128/25	1780406835	1780445638	4010
dse	74.7.241.31	74.7.241.0/25	1779413962	1780335598	3796
dse	74.7.227.16	74.7.227.0/25	1779327348	1788534174	3308
dse	74.7.241.23	74.7.241.0/25	1773390897	1788540780	3235
dse	74.7.241.6	74.7.241.0/25	1788528857	1788540717	3202
dse	74.7.241.5	74.7.241.0/25	1776963808	1789630339	3198
wiki4d	74.7.243.199	74.7.243.128/25	1774081558	1776892697	3124
buecher	74.7.242.25	74.7.242.0/25	1775443562	1775515441	3115
dse	74.7.243.196	74.7.243.128/25	1788531941	1788533593	3112
fractal	74.7.241.6	74.7.241.0/25	1785804718	1788361789	3091
dse	74.7.242.60	74.7.242.0/25	1788562127	1788908647	3083
dse	74.7.227.50	74.7.227.0/25	1780727207	1781103098	3030
dse	74.7.227.144	74.7.227.128/25	1776155981	1776264521	2935
dse	74.7.227.168	74.7.227.128/25	1788577419	1788602999	2820
dse	74.7.241.29	74.7.241.0/25	1775443062	1786392067	2757
dse	74.7.241.45	74.7.241.0/25	1776278792	1784675090	2739
buecher	74.7.243.232	74.7.243.128/25	1777398064	1777968815	2729
dse	74.7.243.219	74.7.243.128/25	1777033508	1777361926	2559
dse	74.7.241.63	74.7.241.0/25	1781775715	1782265897	2440
buecher	74.7.227.20	74.7.227.0/25	1778258968	1778260371	2429
dse	74.7.227.141	74.7.227.128/25	1786771805	1787023680	2274
dse	74.7.242.7	74.7.242.0/25	1778186783	1785983184	2232
dse	74.7.243.212	74.7.243.128/25	1772735549	1779306968	2096
dse	74.7.241.37	74.7.241.0/25	1776878692	1776880161	2057
buecher	74.7.241.15	74.7.241.0/25	1775832995	1775834125	2015
dse	74.7.227.39	74.7.227.0/25	1786041201	1786043271	2006
dse	74.7.227.20	74.7.227.0/25	1778340739	1778341753	1874
wiki4d	74.7.241.0	74.7.241.0/25	1776716302	1785066141	1707
dse	74.7.242.14	74.7.242.0/25	1783716197	1784108868	1658
wiki4d	74.7.242.17	74.7.242.0/25	1781139668	1781668277	1633
support	74.7.242.60	74.7.242.0/25	1788667502	1788853689	1628
dse	74.7.227.133	74.7.227.128/25	1788642002	1788642877	1612
support	74.7.242.25	74.7.242.0/25	1775443249	1775501354	1465
fractal	74.7.227.24	74.7.227.0/25	1777031991	1780926958	1394
wiki4d	74.7.227.25	74.7.227.0/25	1778272778	1780317561	1373
wiki4d	74.7.227.63	74.7.227.0/25	1773288658	1788650469	1331
wiki4d	74.7.227.172	74.7.227.128/25	1778203732	1778444585	1318
support	74.7.242.55	74.7.242.0/25	1784939325	1784942989	1316
support	74.7.241.47	74.7.241.0/25	1784940973	1784942191	1315
fractal	74.7.241.7	74.7.241.0/25	1777039502	1777324767	1314
support	74.7.227.190	74.7.227.128/25	1778211007	1778251407	1303
wiki4d	74.7.242.45	74.7.242.0/25	1782372130	1783467758	1302
buecher	74.7.241.37	74.7.241.0/25	1776655988	1776880459	1276
dse	74.7.227.25	74.7.227.0/25	1779602997	1780290833	1252
fractal	74.7.243.252	74.7.243.128/25	1777032182	1777323789	1245
dse	74.7.243.238	74.7.243.128/25	1776405220	1776881386	1239
fractal	74.7.243.229	74.7.243.128/25	1782588641	1783245036	1211
probier	74.7.227.160	74.7.227.128/25	1782222889	1782223563	1186
wiki4d	74.7.242.50	74.7.242.0/25	1780391326	1780595961	1184
buecher	74.7.243.205	74.7.243.128/25	1781766937	1782316873	1154
wiki4d	74.7.243.202	74.7.243.128/25	1784697819	1784698551	1147
dse	74.7.243.203	74.7.243.128/25	1783479353	1783571325	1117
wiki4d	74.7.227.10	74.7.227.0/25	1786248644	1786249340	1044
dse	74.7.243.247	74.7.243.128/25	1776311346	1776360190	1043
wiki4d	74.7.241.20	74.7.241.0/25	1776880492	1776881261	1037
buecher	74.7.242.7	74.7.242.0/25	1785882262	1786031697	1016
wiki4d	74.7.241.49	74.7.241.0/25	1781808148	1782306802	933
