hour	wiki	count
2026-06-13 00	buecher	280
2026-06-13 00	culios	1
2026-06-13 00	dse	1639
2026-06-13 00	fractal	1705
2026-06-13 00	support	20
2026-06-13 00	wiki4d	143
2026-06-13 01	buecher	412
2026-06-13 01	culios	1
2026-06-13 01	dse	584
2026-06-13 01	fractal	1849
2026-06-13 01	lions	1
2026-06-13 01	probier	2
2026-06-13 01	support	25
2026-06-13 01	wiki4d	160
2026-06-13 02	buecher	262
2026-06-13 02	culios	14
2026-06-13 02	dse	686
2026-06-13 02	fractal	1985
2026-06-13 02	lions	2
2026-06-13 02	nausner	4
2026-06-13 02	probier	9
2026-06-13 02	support	53
2026-06-13 02	wiki4d	195
2026-06-13 03	buecher	234
2026-06-13 03	culios	2
2026-06-13 03	dse	1356
2026-06-13 03	fractal	1914
2026-06-13 03	lions	2
2026-06-13 03	nausner	1
2026-06-13 03	probier	3
2026-06-13 03	support	42
2026-06-13 03	wiki4d	213
2026-06-13 04	buecher	244
2026-06-13 04	culios	11
2026-06-13 04	dse	1121
2026-06-13 04	fractal	2319
2026-06-13 04	lions	1
2026-06-13 04	nausner	3
2026-06-13 04	probier	12
2026-06-13 04	support	55
2026-06-13 04	wiki4d	215
2026-06-13 05	buecher	338
2026-06-13 05	culios	11
2026-06-13 05	dse	689
2026-06-13 05	fractal	2202
2026-06-13 05	nausner	1
2026-06-13 05	support	42
2026-06-13 05	wiki4d	158
2026-06-13 06	buecher	364
2026-06-13 06	culios	7
2026-06-13 06	dse	1029
2026-06-13 06	fractal	1981
2026-06-13 06	lions	1
2026-06-13 06	nausner	1
2026-06-13 06	probier	5
2026-06-13 06	support	34
2026-06-13 06	wiki4d	182
2026-06-13 07	buecher	358
2026-06-13 07	culios	14
2026-06-13 07	dse	1968
2026-06-13 07	fractal	1906
2026-06-13 07	lions	1
2026-06-13 07	nausner	1
2026-06-13 07	support	36
2026-06-13 07	wiki4d	333
2026-06-13 08	buecher	361
2026-06-13 08	culios	4
2026-06-13 08	dse	2709
2026-06-13 08	fractal	1329
2026-06-13 08	nausner	4
2026-06-13 08	probier	3
2026-06-13 08	support	63
2026-06-13 08	wiki4d	194
2026-06-13 09	buecher	361
2026-06-13 09	culios	4
2026-06-13 09	dse	3450
2026-06-13 09	fractal	1305
2026-06-13 09	support	35
2026-06-13 09	wiki4d	170
2026-06-13 10	buecher	152
2026-06-13 10	culios	9
2026-06-13 10	dse	2797
2026-06-13 10	fractal	2030
2026-06-13 10	lions	1
2026-06-13 10	nausner	3
2026-06-13 10	probier	2
2026-06-13 10	support	42
2026-06-13 10	wiki4d	181
2026-06-13 11	buecher	279
2026-06-13 11	culios	9
2026-06-13 11	dse	2804
2026-06-13 11	fractal	1983
2026-06-13 11	probier	3
2026-06-13 11	support	34
2026-06-13 11	wiki4d	267
2026-06-13 12	buecher	378
2026-06-13 12	culios	4
2026-06-13 12	dse	2361
2026-06-13 12	fractal	2288
2026-06-13 12	lions	1
2026-06-13 12	probier	1
2026-06-13 12	support	33
2026-06-13 12	wiki4d	220
2026-06-13 13	buecher	411
2026-06-13 13	culios	3
2026-06-13 13	dse	1643
2026-06-13 13	fractal	1727
2026-06-13 13	lions	1
2026-06-13 13	nausner	6
2026-06-13 13	probier	2
2026-06-13 13	support	38
2026-06-13 13	wiki4d	270
2026-06-13 14	buecher	288
2026-06-13 14	culios	6
2026-06-13 14	dse	1566
2026-06-13 14	fractal	1460
2026-06-13 14	nausner	3
2026-06-13 14	probier	5
2026-06-13 14	support	37
2026-06-13 14	wiki4d	172
2026-06-13 15	buecher	205
2026-06-13 15	culios	3
2026-06-13 15	dse	1720
2026-06-13 15	fractal	1117
2026-06-13 15	lions	2
2026-06-13 15	nausner	3
2026-06-13 15	probier	2
2026-06-13 15	support	38
2026-06-13 15	wiki4d	220
2026-06-13 16	buecher	421
2026-06-13 16	culios	15
2026-06-13 16	dse	1563
2026-06-13 16	fractal	1030
2026-06-13 16	lions	4
2026-06-13 16	nausner	1
2026-06-13 16	probier	2
2026-06-13 16	support	44
2026-06-13 16	wiki4d	195
2026-06-13 17	buecher	556
2026-06-13 17	culios	10
2026-06-13 17	dse	990
2026-06-13 17	fractal	6631
2026-06-13 17	nausner	6
2026-06-13 17	probier	2
2026-06-13 17	support	38
2026-06-13 17	wiki4d	126
2026-06-13 18	buecher	397
2026-06-13 18	culios	6
2026-06-13 18	dse	797
2026-06-13 18	fractal	1961
2026-06-13 18	nausner	1
2026-06-13 18	probier	2
2026-06-13 18	support	27
2026-06-13 18	wiki4d	164
2026-06-13 19	buecher	211
2026-06-13 19	culios	8
2026-06-13 19	dse	766
2026-06-13 19	fractal	926
2026-06-13 19	lions	3
2026-06-13 19	probier	2
2026-06-13 19	support	43
2026-06-13 19	wiki4d	111
2026-06-13 20	buecher	195
2026-06-13 20	culios	7
2026-06-13 20	dse	902
2026-06-13 20	fractal	970
2026-06-13 20	lions	1
2026-06-13 20	nausner	2
2026-06-13 20	probier	2
