wiki	bot	requests	distinct_ips
buecher	gptbot	26002	70
buecher	searchbot	6420	129
buecher	chatgpt-user	4181	350
culios	gptbot	2836	28
culios	searchbot	73	21
culios	chatgpt-user	50	38
dse	chatgpt-user	468883	2082
dse	gptbot	201053	131
dse	searchbot	68702	302
fractal	gptbot	374455	129
fractal	searchbot	31140	139
fractal	chatgpt-user	19545	1357
lions	gptbot	1298	10
lions	searchbot	44	21
lions	chatgpt-user	23	19
nausner	gptbot	1231	13
nausner	chatgpt-user	36	25
nausner	searchbot	27	12
probier	chatgpt-user	8466	1146
probier	gptbot	3252	15
probier	searchbot	2450	106
support	gptbot	9953	31
support	chatgpt-user	759	82
support	searchbot	187	32
wiki4d	gptbot	41256	136
wiki4d	chatgpt-user	6031	590
wiki4d	searchbot	3186	129
