minute_utc	wiki	revisions
2026-06-21T00:37Z	dse	1
2026-06-21T00:58Z	dse	1
2026-06-21T01:51Z	dse	1
2026-06-21T02:14Z	dse	1
2026-06-21T02:16Z	dse	1
2026-06-21T02:22Z	dse	3
2026-06-21T02:25Z	dse	1
2026-06-21T02:27Z	fractal	1
2026-06-21T02:29Z	fractal	1
2026-06-21T02:31Z	fractal	2
2026-06-21T02:33Z	dse	1
2026-06-21T02:35Z	dse	1
2026-06-21T02:40Z	dse	1
2026-06-21T02:43Z	fractal	2
2026-06-21T02:44Z	fractal	1
2026-06-21T02:46Z	fractal	1
2026-06-21T02:48Z	dse	1
2026-06-21T02:50Z	dse	1
2026-06-21T02:50Z	fractal	1
2026-06-21T02:55Z	dse	2
2026-06-21T02:57Z	dse	5
2026-06-21T02:58Z	dse	1
2026-06-21T03:01Z	dse	1
2026-06-21T03:04Z	dse	2
2026-06-21T03:08Z	dse	1
2026-06-21T03:10Z	dse	1
2026-06-21T03:11Z	dse	1
2026-06-21T03:13Z	dse	1
2026-06-21T03:14Z	dse	1
2026-06-21T03:16Z	dse	2
2026-06-21T03:18Z	dse	1
2026-06-21T03:19Z	dse	1
2026-06-21T03:23Z	dse	1
2026-06-21T03:24Z	dse	1
2026-06-21T03:25Z	dse	1
2026-06-21T03:27Z	dse	1
2026-06-21T03:35Z	dse	1
2026-06-21T03:36Z	dse	1
2026-06-21T03:40Z	dse	1
2026-06-21T03:41Z	dse	1
2026-06-21T03:50Z	dse	1
2026-06-21T03:57Z	dse	1
2026-06-21T03:58Z	dse	1
2026-06-21T04:02Z	dse	3
2026-06-21T04:03Z	dse	1
2026-06-21T04:04Z	dse	1
2026-06-21T04:09Z	dse	2
2026-06-21T04:10Z	fractal	1
2026-06-21T04:11Z	fractal	2
2026-06-21T04:12Z	fractal	1
2026-06-21T04:13Z	fractal	1
2026-06-21T04:14Z	dse	1
2026-06-21T04:16Z	dse	1
2026-06-21T04:17Z	dse	1
2026-06-21T04:17Z	fractal	2
2026-06-21T04:18Z	dse	3
2026-06-21T04:19Z	dse	1
2026-06-21T04:19Z	fractal	1
2026-06-21T04:21Z	dse	2
2026-06-21T04:22Z	dse	4
2026-06-21T04:25Z	dse	1
2026-06-21T04:26Z	dse	1
2026-06-21T04:26Z	fractal	1
2026-06-21T04:28Z	dse	4
2026-06-21T04:28Z	fractal	1
2026-06-21T04:29Z	fractal	1
2026-06-21T04:32Z	dse	1
2026-06-21T04:34Z	dse	1
2026-06-21T04:35Z	dse	1
