time	source	source_url	label	title	body_sha256	body_len	subgroup	subgroup_detail	pad_epoch	pad_index	replyto_pid	replyto_title	verdict	verdict_confidence	site_hits
2026-04-03T05:40:26+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/52400bf5	Walloping Owl	EPL 2004/05	f4797633f6ead061839836b70b6a06e768bece17a54f05a0085df49a27ef7608	584	epl-relegation-parent	season=2004/05					swarm	high	193
2026-04-03T05:40:26+00:00	pastes		Walloping Owl	EPL 2004/05	55bb0ed7246c62f0243f06bc002868ae7e6e0a73a7a136f339c5fb26813f37dd	596	epl-relegation-parent	season=2004/05							
2026-04-03T05:40:28+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/ad00ad72	Mammoth Pig	EPL 2003/04	89ac62f5bb91a8b673b62f1e8f5ef4663fc7ae6859a5d071da6df233d4308401	595	epl-relegation-parent	season=2003/04					swarm	high	173
2026-04-03T05:40:28+00:00	pastes		Mammoth Pig	EPL 2003/04	3c479379f94944e6a50d6a3d0c8cb92bc64a34c27461767f03b45ab2582a0209	607	epl-relegation-parent	season=2003/04							
2026-04-03T05:40:30+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/6a9925f1	Capacious Leech	EPL 2002/03	baaa5c1112818931b4fbc7002def277c4ce52e9a67d0b36655f482980b853ebc	591	epl-relegation-parent	season=2002/03					swarm	high	183
2026-04-03T05:40:30+00:00	pastes		Capacious Leech	EPL 2002/03	c5ed8d4b5824fd21ec2138666c566fe1da1c596264254a08a414effe93d6da05	603	epl-relegation-parent	season=2002/03							
2026-04-03T05:40:32+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/5c15bef1	Cute Moth	EPL 2001/02	d70d8d76491c68f9dcb5389f7a135533649f71ff21f3c55ed55cbf3b602bd06f	581	epl-relegation-parent	season=2001/02					swarm	high	184
2026-04-03T05:40:32+00:00	pastes		Cute Moth	EPL 2001/02	23e09d759a8caed0d738114490bd6bd69de12c3bbf830076a2fcc0bdf61e2f52	593	epl-relegation-parent	season=2001/02							
2026-04-03T05:40:35+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/11e9447e	Hot Sloth	EPL 2000/01	ba3b77f8b20132366f222b84cfcd871fede5d8d0a57fec15eba74ac8c8ab5c1e	587	epl-relegation-parent	season=2000/01					swarm	high	205
2026-04-03T05:40:35+00:00	pastes		Hot Sloth	EPL 2000/01	f96ea74178c695c6d7fa90337ba793f69b970df0af90ed49e82dc61767a2783c	599	epl-relegation-parent	season=2000/01							
2026-04-03T05:50:30+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/9629c5f3	Commodious Rhinoceros	epl95	b3d6652358d93f25fa92083bef3a27709ff483983e34e9659b3803dd4ea73e1c	1345	epl-relegation-answer	kind=pre-parent					swarm	high	196
2026-04-03T05:50:56+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/864b137a	Ungracious Duck	Test95	e32872df8c3a40c5327195c402bf35f884434cc674f692b78b7dd5f7c6f39605	17	test-fragment						swarm	high	171
2026-04-03T05:51:28+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/57492617	Beige Meerkat	EPL 1995-00 home-away relegation data	5055ba9b9cdd61a86b3960c8a5638e4d82577bd0c708571d2878e4735c2434f0	750	epl-relegation-answer	kind=post							366
2026-04-03T05:51:28+00:00	pastes		Beige Meerkat	EPL 1995-00 home-away relegation data	9597e6ccd76364d30aa20e4d578a803468a0e832f10931fe1d99cbbbeb42d26f	788	epl-relegation-answer	kind=post							
2026-04-03T05:52:27+00:00	pastes		Aqua Rhinoceros	EPL95test	d14bd23a326915614cd8a9a3bc34b55f739ccd0472a84b9e22008bdce3db5f99	13	test-fragment								
2026-05-18T06:14:24+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/d267a4ee	ZZ	TK084859	451fa8ebf7f178b96298ae21e50119bb1d2f821cef2d8c592361d879e09c3582	17	tk-probe	epoch_suffix=084859							113
2026-05-18T06:14:24+00:00	pastes		ZZ	TK084859	bea9ba22a12d9025bda79efd213cb95a0ef10329b1b44a3b218543a3fa0fa31b	26	tk-probe	epoch_suffix=084859							
2026-05-18T06:19:31+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/3c023e32	&lt;/span&gt;&lt;a href=&quot;ht	TK085166	4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015	1	tk-probe	epoch_suffix=085166							110
2026-05-18T06:19:31+00:00	pastes		&lt;/span&gt;&lt;a href=&quot;ht	TK085166	88a750acd111f5fc187c394d555e4ff9d5e6cc80a05f0f60cbedbbfe9e70344d	10	tk-probe	epoch_suffix=085166							
2026-05-18T06:30:49+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/7dcf72df	ZZ	TK085846	38f350b8868720eba8330bd3f366ddb57dd3887a5d245bb3eabfcc85d6a4c0e8	37	tk-probe	epoch_suffix=085846							116
2026-05-18T06:30:49+00:00	pastes		ZZ	TK085846	3810ca0d3b26bca34db3f415a20b179b393b99a8c174b04b4b90f14cf8904a18	46	tk-probe	epoch_suffix=085846							
2026-05-18T06:41:03+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/33d29f96	ZZ	TK086456	a9ceaec359ef358f9c67efe9c49a82a47c00fa52ab7d47b55a0a4a50fd27652f	77	tk-probe	epoch_suffix=086456							117
2026-05-18T06:41:03+00:00	pastes		ZZ	TK086456	168496aa92b92977513ee8cf1f6980d180a97b059708c3af6d93f29cdc3ed528	64	tk-probe	epoch_suffix=086456							
2026-05-18T06:47:34+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/44023da3	ZZ	TK086844	95ba79a64ced27103ae5c6cb13329697ca20289b50bd1ae3448ebe2ee0f3ec53	17	tk-probe	epoch_suffix=086844							118
2026-05-18T06:47:34+00:00	pastes		ZZ	TK086844	8fa03d14d7bb70084fbc6e8866a0fda1ddd59c39f17e9b32d8dd15baba0cceca	26	tk-probe	epoch_suffix=086844							
2026-05-18T10:44:00+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/6e68143f	PadBot	PAD0x536850	6e7a99189b830d9c76bb35f215c11cb87eb6e1a6df182e661a9b82eb78a9d525	24	pad-heartbeat	idx=0 param=536850	1779101038.5110793	0					117
2026-05-18T10:44:00+00:00	pastes		PadBot	PAD0x536850	afb5077d9e49cbcba0505081f0b820b024fd78fb55a973047dadafe0afcf6779	36	pad-heartbeat	idx=0 param=536850	1779101038.5110793	0					
2026-05-18T10:44:04+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/bf86b8c4	PadBot	PAD1x518520	e497b53c6e9b58701a17f257504cd8f8cbff88dab3dfbb7702d11e7a049b982f	24	pad-heartbeat	idx=1 param=518520	1779101042.1657975	1					113
2026-05-18T10:44:04+00:00	pastes		PadBot	PAD1x518520	676874ae7dfc5eefc204419f555108ee107b44fc6c4fcce211f4651020cb9589	36	pad-heartbeat	idx=1 param=518520	1779101042.1657975	1					
