family	round	entity	count
construction	1	Arizona	54
construction	1	AZ	16
construction	2	Utah	68
construction	2	UT	16
construction	3	Colorado	107
construction	3	CO	19
construction	4	New Mexico	94
construction	4	NM	92
poverty_county	1	Flathead	331
poverty_county	2	Merced	271
poverty_county	3	San Juan	245
poverty_county	4	Saginaw	209
clothing	2	NY	22
clothing	2	New York	11
clothing	3	Florida	11
clothing	3	NY	2
ihme_cvd	1	Armenia	265
ihme_cvd	2	Kazakhstan	250
ihme_cvd	3	Turkmenistan	648
ihme_cvd	4	Hungary	1159
ihme_cvd	5	Poland	2034
ihme_cvd	5	Armenia	31
ihme_cvd	6	Slovenia	38
grocery	1	Georgia	4
grocery	2	AR	163
grocery	2	Arkansas	124
grocery	3	NV	494
grocery	3	Nevada	211
grocery	4	KY	744
grocery	4	Kentucky	405
grocery	5	Maryland	38
grocery	5	Montana	1
ihme_family_planning	1	Croatia	158
ihme_family_planning	1	Albania	14
ihme_family_planning	2	Albania	174
ihme_family_planning	3	Cyprus	204
ihme_family_planning	4	Bahrain	108
oecd_equity	1	Czech	502
oecd_equity	2	Hungary	561
oecd_equity	3	Poland	527
oecd_equity	4	Slovak	218
oecd_equity	5	Slovenia	34
oecd_regional_co2	1	Colombia	43
oecd_regional_co2	2	Mexico	42
oecd_regional_co2	3	Chile	58
oecd_regional_co2	4	Poland	94
oecd_regional_co2	5	Italy	99
oecd_regional_co2	5	Colombia	22
oecd_regional_co2	6	Poland	19
