kind	value	count
initial_timer	12m18	1006
initial_timer	9m17	711
initial_timer	2m56	635
initial_timer	9m19	599
initial_timer	28m39	579
initial_timer	26m06	537
initial_timer	51m55	535
initial_timer	15m43	475
initial_timer	35m11	440
initial_timer	43m21	434
initial_timer	18m04	415
initial_timer	3m34	409
initial_timer	1m03	334
initial_timer	3m33	311
initial_timer	25m43	297
initial_timer	12m24	294
initial_timer	19m48	291
initial_timer	2m19	267
initial_timer	1m20	260
initial_timer	5m14	236
initial_timer	30m32	235
initial_timer	5m26	215
initial_timer	1m16	215
initial_timer	1m23	211
initial_timer	46m35	204
initial_timer	43m30	196
initial_timer	6m40	196
initial_timer	18m39	178
initial_timer	3m05	177
initial_timer	17m21	166
initial_timer	8m26	158
initial_timer	14m18	155
initial_timer	33m33	153
initial_timer	34m49	148
initial_timer	26m57	141
initial_timer	24m50	139
initial_timer	35m44	134
initial_timer	14m51	132
initial_timer	13m04	131
initial_timer	1m05	128
initial_timer	5m18	125
initial_timer	36m23	124
initial_timer	35m09	116
initial_timer	22m28	116
initial_timer	57m31	110
initial_timer	37m15	108
initial_timer	2m50	106
initial_timer	1m53	106
initial_timer	20m51	104
initial_timer	29m04	100
cooldown	+90m	715
cooldown	+105m	561
cooldown	+28m39	525
cooldown	+1h11m27	469
cooldown	+2h00m42	425
cooldown	+1h28m36	381
cooldown	+43m21	348
cooldown	+51m55	348
cooldown	+2h15	279
cooldown	+26m06	278
cooldown	+25m43	235
cooldown	+15m43	228
cooldown	+46m35	159
cooldown	+1h45	143
cooldown	+35m44	117
cooldown	+3h45	113
cooldown	+36m23	83
cooldown	+43m30	76
cooldown	+1h51m25	73
cooldown	+71m27	73
cooldown	+71m04	67
cooldown	+28m39s	54
cooldown	+29m04	52
cooldown	+30m32	50
cooldown	+25m00	39
cooldown	+28m48	34
cooldown	+40m19	34
cooldown	+25m	31
cooldown	+1h18m38	31
cooldown	+51m23	31
cooldown	+25m58	30
cooldown	+38m21	30
cooldown	+58m59	29
cooldown	+22m19	29
cooldown	+75m	28
cooldown	+26m55	26
cooldown	+2h15m	25
cooldown	+18m22	25
cooldown	+13m04	25
cooldown	+8h	25
cooldown	+40m23	24
cooldown	+1h18m11	24
cooldown	+1h29m08	21
cooldown	+38m21s	19
cooldown	+91m01s	19
cooldown	+35m09s	18
cooldown	+20m51	18
cooldown	+16m06	17
cooldown	+6m36	16
cooldown	+13m12	16
