time	source	source_url	label	title	role	format_variant	filter_hash	link_marker	stat_ref_number	number_in_body	body_len	body_sha256
2026-05-27T14:23:59+00:00	pastes			"<a href=""https://site-test.nsi.bg/en/infos"	author-field-attribute-injection	html-anchor		0			47	08a414809c71c06d8d5f6e12c4602c5b2c1482e90e1a289c85470d4d3deaeee5
2026-05-27T14:24:00+00:00	pastes			HTML try	format-variant-seed	html-anchor	698ad90b70a04b5dfb556c902faf7b87	0			106	9cb432801aa6151c6cf5209340d7bf60a8441de96aa0e8112b5359146a51a671
2026-05-27T14:24:01+00:00	pastes			BB try	format-variant-seed	bbcode-url	698ad90b70a04b5dfb556c902faf7b87	0			101	297cf99e29493eda25149a783b9121d2ed0d820d0fff2fd45f730097b6919bc7
2026-05-27T14:24:02+00:00	pastes			Plainurl	format-variant-seed	plain-url	698ad90b70a04b5dfb556c902faf7b87	0			89	d3c35cce1e9b3809f5c8917b3c64058d5e9dc67f673256c45fcbcd2e4959673c
2026-05-27T14:24:21+00:00	pastebin.tarcseh.me	https://pastebin.tarcseh.me/view/873054c3	Denim Macaw	abc	smoke-abc	smoke-abc		0			3	ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad
2026-05-27T14:26:31+00:00	pastebin.tarcseh.me	https://pastebin.tarcseh.me/view/bd0a3669	Little Moth	HTML try	format-variant-seed	html-encoded	698ad90b70a04b5dfb556c902faf7b87	0			119	b8a4e893050f8fd8d4675424d74833c0d49c0cbfa447b56872d56c9c93ca0230
2026-05-27T14:26:35+00:00	pastebin.tarcseh.me	https://pastebin.tarcseh.me/view/19a43099	Rude Sloth	BB try	format-variant-seed	bbcode-url	698ad90b70a04b5dfb556c902faf7b87	0			94	04fbcfa20d10d643560688447ba775aedbae3667f4b925d1abd73b1e2e90e1d6
2026-05-27T14:26:38+00:00	pastebin.tarcseh.me	https://pastebin.tarcseh.me/view/67d3cf47	&lt;a href=&quot;https://example	Plainurl	format-variant-seed	plain-url	698ad90b70a04b5dfb556c902faf7b87	0			80	8bc5e07796399cc27161776e1c3b8cf1a1b38124cb009e3377e7a65f8095fe63
2026-05-27T15:52:43+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/1d6736e9	research	stats reference link	labelled-reference	plain-url	244d7a2123e18b979e21ca0df06ef538	0			105	4d27bb92ce32fe23476fd1b22e8397179a49cb8904991c1bc3100115bf8fc26f
2026-05-27T15:52:43+00:00	pastes		research	stats reference link	labelled-reference	plain-url	244d7a2123e18b979e21ca0df06ef538	0			125	a69e1d2a89b8d4f1ede3adf4fc1a33b3f3fac3bbada55c12ff50af13152e270b
2026-05-27T16:23:45+00:00	pastes		Research	NSI table reference 2009-2015	labelled-reference	plain-url	244d7a2123e18b979e21ca0df06ef538	1			183	5b22ec8b61572f94967a96fd34d4a26298a762668f49eadb2aa4cc9f4da2ad51
2026-05-27T16:23:47+00:00	pastes		Stat	Official data link	labelled-reference	html-anchor	244d7a2123e18b979e21ca0df06ef538	0			223	a511b8747d78a39a3f52591ed44fb859f342b2d7389201c6d32d42fb01b4509d
2026-05-27T16:23:49+00:00	pastes		stat	Table source NSI	labelled-reference	markdown-link	244d7a2123e18b979e21ca0df06ef538	0			187	6d6195da11533afa8f240c94a619113fb3abc1ed22c268f9467ead5d871603ba
2026-05-27T16:30:14+00:00	anna.fyi	https://anna.fyi/view/51d377c1	Research	NSI table reference 2009-2015	labelled-reference	plain-url	244d7a2123e18b979e21ca0df06ef538	1			153	a6cf6b77d60b813c93c40c5c7785780d1a71e1fc3fb61fb0e25a981e334799bb
2026-05-27T16:30:19+00:00	anna.fyi	https://anna.fyi/view/ceadad2d	stat	Table source NSI	labelled-reference	markdown-link	244d7a2123e18b979e21ca0df06ef538	0			170	c0e926e749e480a8522863e013caa646cc6f64a1e02d4684afc81e5983352ca6
2026-05-27T16:30:22+00:00	pastes		Researcher	Statistical reference 2	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	2	1	203	86aca9513c669be2b4a2cad2978628d3fed958a820bd78078ba7e1d90dbff97b
2026-05-27T16:30:22+00:00	pastes		Researcher	Statistical reference 1	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	1	0	203	e15dec0c214d96a6c28e0085b8ac745d4c9a035eabb7215085e0930502bb3bcb
2026-05-27T16:30:23+00:00	pastes		Researcher	Statistical reference 3	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	3	2	203	0bcde9e9b37e7aedf78480853e9cc07f8898c4335763428c45555218c371f4aa
2026-05-27T16:30:23+00:00	pastes		Researcher	Statistical reference 4	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	4	3	203	1cbd7b0e1c782bf4ca20c4f95e36af53e1f779e39bfee106b368eaea59ff4689
2026-05-27T16:30:24+00:00	pastes		Researcher	Statistical reference 5	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	5	4	203	0dd7cc5356af7e7f991d0beda6242444573e61ce444c0ea756821c4800adc2a7
2026-05-27T16:30:25+00:00	pastes		Researcher	Statistical reference 6	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	6	5	203	c538149c2f3a7c86b7b513cee4db5986943269a52abc351a6815d8526c4ec2a1
2026-05-27T16:30:26+00:00	pastes		Researcher	Statistical reference 7	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	7	6	203	0323d5b2c6a76988007f78f3181df765aed6e29ebe5518a63c569265ad7bf177
2026-05-27T16:30:27+00:00	pastes		Researcher	Statistical reference 9	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	9	8	203	247de90db99403b36e50adecfc10e56970a57fc9fab3d0b1fd2fc12e6e0771a9
2026-05-27T16:30:27+00:00	pastes		Researcher	Statistical reference 8	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	8	7	203	299ad4d04a8f9d05e4ed8a0387073881292c4022ca5e182a99e142a271089e5e
2026-05-27T16:30:28+00:00	pastes		Researcher	Statistical reference 10	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	10	9	204	a715acfd47bd1d670c9017243e3fb4a889a787fa66812c33147fd138495efff4
2026-05-27T16:30:29+00:00	pastes		Researcher	Statistical reference 11	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	11	10	205	c33c3ee5c48447e732b5ff4ce59e71994e3608f164f3228fadb81754989963e8
2026-05-27T16:30:30+00:00	pastes		Researcher	Statistical reference 12	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	12	11	205	7863e0dcc86dc7bc134749ff3875c8f9ab85655d03e35808f9850e749ea560dd
2026-05-27T16:30:33+00:00	pastes		Researcher	Statistical reference 13	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	13	12	205	ea95a97906cc5020f08c3aec0621b93b6cd19affd32827fe5fb09b4accbdd7ae
2026-05-27T16:30:35+00:00	pastes		Researcher	Statistical reference 15	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	15	14	205	77d67022ce2506a03c2286bdd9a6bd38fc0d29f8fd758bfb7917c94ce20f756b
2026-05-27T16:30:35+00:00	pastes		Researcher	Statistical reference 14	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	14	13	205	d18b2cb7be8b6b615e4990e4d0594e1dda3c35dc7b06cb754f4a33423aee446b
2026-05-27T16:30:36+00:00	pastes		Researcher	Statistical reference 16	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	16	15	205	9cb1f28254254f83d0a2ef89dbeb7508c6dc1a55ba35233445876eb7fe0273f4
2026-05-27T16:30:37+00:00	pastes		Researcher	Statistical reference 17	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	17	16	205	422f0efea907744ba982debc316e91e99e0bfe8a035ad6c0420b43e4abfa79ae
2026-05-27T16:30:37+00:00	pastes		Researcher	Statistical reference 18	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	18	17	205	7b19925e4fbf97713dad990fc7b7ef12faffeb64020aead290a3fb2e3f88fb25
2026-05-27T16:30:38+00:00	pastes		Researcher	Statistical reference 19	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	19	18	205	2c5602ce0a11f3ca3ca79a564a96297dd39c9882827b524935402ad492be7e45
2026-05-27T16:30:39+00:00	pastes		Researcher	Statistical reference 20	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	20	19	205	6ba5a635090c2f17b4c3525a734d89e6dcb3d6b27b45a1bd2507fa473cf77fae
2026-05-27T16:30:40+00:00	pastes		Researcher	Statistical reference 22	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	22	21	205	20842c5746e727f48236ae772f7d058c95a55b3324ed894f892e94e577a8e451
2026-05-27T16:30:40+00:00	pastes		Researcher	Statistical reference 21	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	21	20	205	2865975b019e881b63972d9e1828a554f2240f843d5f4c938e7ce2ac7aade68c
2026-05-27T16:30:42+00:00	pastes		Researcher	Statistical reference 23	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	23	22	205	2e2c759abaa3b96cf481aa8f38480fc7934663a020ecef6af322b9555c2c0923
2026-05-27T16:30:43+00:00	pastes		Researcher	Statistical reference 24	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	24	23	205	f171b543fccc8cbc340342a8c892d53ddb07c1dcdd413d365c75c7a0d4205a43
2026-05-27T16:30:44+00:00	pastes		Researcher	Statistical reference 25	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	25	24	205	80881d593ed85eb5d92238b50b4385f5cd3d2b2111be64bc42f5573e3672892a
2026-05-27T16:30:45+00:00	pastes		Researcher	Statistical reference 26	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	26	25	205	6eb7c093a2933349bc1000ca74d086b6f5dbceb6d9a30007e118c81af2fd1e66
2026-05-27T16:30:46+00:00	pastes		Researcher	Statistical reference 28	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	28	27	205	7bb1b8b269edd233646f0e62b304c114ad8d4ceb5958530a3dd3683b9c5f2773
2026-05-27T16:30:46+00:00	pastes		Researcher	Statistical reference 27	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	27	26	205	a10f5807ea4fc3985666d50988e8cc7ea10089cc7db5b7aa9f76b86e5f7560a9
2026-05-27T16:30:47+00:00	pastes		Researcher	Statistical reference 29	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	29	28	205	cb8fd41ecec077e40c973174f4ed6ddbfbae0d66eff449bdb1b2ec6d8082a7a8
2026-05-27T16:30:48+00:00	pastes		Researcher	Statistical reference 30	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	30	29	205	80ddd1aa91ee43608f8d7ac5829ba573ac08f33e8194ef1780081543ea9ff9b0
2026-05-27T16:30:48+00:00	pastes		Researcher	Statistical reference 31	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	31	30	205	e54e213ecdbf4638ec326f3bc8942504018327c1c8b442d1948d42a4d8b74f30
2026-05-27T16:30:49+00:00	pastes		Researcher	Statistical reference 32	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	32	31	205	4dde970d196713e5e41b594aedb476bd99bd30b03fb176e460bc47148f24b5df
2026-05-27T16:30:50+00:00	pastes		Researcher	Statistical reference 33	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	33	32	205	6bdeac7af41ff30c784eb6ebc947f215ed24aa52d642e82f6ad8a620123f717e
2026-05-27T16:30:50+00:00	pastes		Researcher	Statistical reference 34	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	34	33	205	e5280ecdb956d758d8c7c0f329e1e09757e1d75b04f9b7591fdc593fd92b26e5
2026-05-27T16:30:51+00:00	pastes		Researcher	Statistical reference 35	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	35	34	205	eddbf8a70b3274dfdda001183f42ad537caaecb7957a64e5258400fdab3479e9
2026-05-27T16:30:52+00:00	pastes		Researcher	Statistical reference 36	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	36	35	205	3835a48d7b896d9e6731112ebecb3d4ca1578c86be649d7c6010fb2de3ba175b
2026-05-27T16:30:52+00:00	pastes		Researcher	Statistical reference 37	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	37	36	205	7a13226ee72598782adb38ffe2bce57956a91dd06bf0f3dd6534296a78b9db32
2026-05-27T16:30:53+00:00	pastes		Researcher	Statistical reference 38	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	38	37	205	c8fc9c15ab6c4bd525417584eef027957d6aa8ea157ab67882c572d395dd042d
2026-05-27T16:30:54+00:00	pastes		Researcher	Statistical reference 39	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	39	38	205	4b7c7e56b3439a85c1110fcfcf85a98b09a11ba556e7fbf5a84c09cda5ce5a8e
2026-05-27T16:30:57+00:00	pastes		Researcher	Statistical reference 40	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	40	39	205	e46495f9c957b1dac56146c0c254f5e864cd25a2e42d640be218f9674519f183
2026-05-27T16:30:59+00:00	pastes		Researcher	Statistical reference 42	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	42	41	205	17162e731c75cb12b287ec598908c606209e67aab067f1a8d650b9453a2576cb
