time	source	source_url	label	title_raw	body_sha256	body_len	site_lang_code	probe_category	has_html_anchor_body	has_html_tag_title	has_marker_body	embedded_epoch	embedded_epoch_iso	body	reviewer_confidence	reviewer_rationale
2026-04-03T05:52:27+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/31636e0b	Aqua Rhinoceros	EPL95test	cb1ad2119d8fafb69566510ee712661f9f14b83385006ef92aec47f523a38358	3	text	shortstring_smoke	no	no	no			AAA	medium	Body 'AAA' with title 'EPL95test' is a paste-site capability smoke test paired with the EPL relegation series (new label: paste-site-probe).
2026-05-13T02:58:29+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/b48ef986	Red Ibis	Research	9a32e7d519231b59373c27e8cd6d131e160f2adda56bfdea4a6096fd5a402e8c	12	text	shortstring_smoke	no	no	no			TestHelloABC	medium	'TestHelloABC' body, title 'Research' is a paste-site smoke test.
2026-05-18T06:16:31+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/7187ab8f	ZZ	&lt;a href=https://example.com/title&gt;TINJ&lt;/a	7ade8dd28bc2c1fa5977cf9ec7c055274f3a2a2d6d4cb95f7e8d1d3f3a90d629	80	text	html_anchor_body	yes	yes	yes	1779084987	2026-05-18T06:16:27Z	&lt;a href=&quot;https://example.com/INJ&quot;&gt;LINKINJECT&lt;/a&gt;1779084987	high	HTML anchor injection with LINKINJECT<epoch> body and injected title; classic swarm anchor-injection probe.
2026-05-18T07:42:12+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/663ff742	ZZ	PHP090121	dd293e48ba3e3699767de91bd897c28ac509133a3bae457df68f999d21d23711	64	php	php_lang_probe	no	no	no	1779090121	2026-05-18T07:42:01Z	&lt;?php phpinfo strpos header highlight ?&gt; PHPTEST1779090121	high	PHP tag with PHPTEST<epoch> body under ZZ handle; language-tagged paste-site probe.
2026-05-18T07:52:23+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/aa0fc2f8	ZZ	GO090736	7108564f478716035d3a4dda086ed56bf7f03a552f0d1ddb2da14060b08f8596	48	go	go_lang_probe	no	no	no	1779090736	2026-05-18T07:52:16Z	bytes.Buffer aes.Cipher go func GOLINK1779090736	high	Go language tokens with GOLINK<epoch> body under ZZ handle; language-tagged paste-site probe.
2026-05-18T07:59:24+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/9cdd5326	ZZ	GOR091159	4142a5870cf8e8ddd89eb75fda5edf8728723c19c0af4f8deaa03ed3c44693ef	48	go	go_lang_probe	no	no	no	1779091159	2026-05-18T07:59:19Z	bytes.Buffer aes.Cipher go func GOLINK1779091159	high	Go language tokens with GOLINK<epoch> body under ZZ handle; paste-site probe (twin of prior).
2026-05-18T10:18:30+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/b4befd87	CiteTest	AATEST	4f89f9fc3cb2011e264e5a778ae10e2e6358d427f9871958777c0e272a52646f	15	text	marker_body	no	no	yes			LINKCONTENTTEST	high	Handle 'CiteTest', title 'AATEST', body 'LINKCONTENTTEST'; paste-site anchor-smoke probe.
2026-05-18T10:20:34+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/4d772e97	NAME	&lt;b&gt;TITLE&lt;/b&gt;	809ce7ecbd30dae36528a821cacc2a42964bbbd5548e24ad1c8bca4db0f63a76	10	text	html_tag_in_title	no	yes	yes			INJECTTEXT	high	HTML-tagged title '<b>TITLE</b>' with body 'INJECTTEXT'; HTML-injection paste-site probe.
2026-05-18T10:21:15+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/937c7008	NAME	TITLE1779099668	a727396309bcc904efc8033b02fb2428c9867940cd0e6b59552e121c48055198	14	text	shortstring_smoke	no	no	no	1779099668	2026-05-18T10:21:08Z	RAND1779099668	high	Title 'TITLE<epoch>' body 'RAND<epoch>' name 'NAME'; textbook machine-cadence paste-site probe.
2026-05-18T10:22:00+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/9ffa2a42	NAME	TITLEZ	5fef79629a04a01c3f29e0e5d55a3d718d8e893a22acae23bba848b4636c5f0d	15	text	shortstring_smoke	no	no	no	1779099720	2026-05-18T10:22:00Z	RANDZ1779099720	high	Title 'TITLEZ' body 'RANDZ<epoch>'; machine-cadence paste-site probe under NAME handle.
2026-05-25T02:20:51+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/06ba831a	Rude Mockingbird	HELLO	94ee059335e587e501cc4bf90613e0814f00a7b08bc7c648fd865a2af6a22cc2	4	text	shortstring_smoke	no	no	no			TEST	medium	Title 'HELLO' body 'TEST' short paste-site smoke test on k4be.
2026-05-27T14:25:24+00:00	pastebin.tarcseh.me	https://pastebin.tarcseh.me/view/11962fd9	A	&lt;a href=&quot;https://site-test.nsi.bg/en/infos	532eaabd9574880dbf76b9b8cc00832c20a6ec113d682299550d7a6e0f345e25	4	text	html_tag_in_title	no	yes	no			Test	high	Attribute-injection probe: encoded '<a href=site-test.nsi.bg>' XSS in author/title field on tarcseh; nsi.bg reference tangential.
2026-05-27T17:16:40+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/ad6c76f9	Reliable Hamerkop	snip	6740adf9c8ed3605bfa3df3b977d86864ec17a3b2dccb8109279ac575edd7d08	8	text	shortstring_smoke	no	no	no			sniptest	medium	Title 'snip' body 'sniptest' short paste-site smoke test on k4be.
2026-05-28T12:59:25+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/f0a9ad96	&lt;b&gt;NmXX&lt;/b&gt; &quot;&g	&lt;b&gt;TiXX&lt;/b&gt;&lt;/h1&gt;&lt;a href=https	7c942f8ed4c5ef98fa865511576f73c3163e98e5c77933eb529a8d0923f4418d	111	text	html_anchor_body	yes	yes	yes			hello content &lt;a href=&quot;https://example.org/attacktt&quot;&gt;LINKAT&lt;/a&gt; https://example.org/autoo	high	HTML-tag-in-title plus LINKAT anchor with example.org URL; anchor-injection paste-site probe.
2026-08-26T14:49:36+00:00	pastebin.tarcseh.me	https://pastebin.tarcseh.me/view/b4218ee0	Beefy Bison	hd-test-1450	cb8586b95496eb87c49542d737024c84c5b918f66533ca4b2d6c69a546fc8b08	13	text	shortstring_smoke	no	no	no			hello-hd-1450	high	Body 'hello-hd-1450' with matching 'hd-test-1450' title; hello-<cohort>-<ts> paste-site smoke test.
