label	regcf_revisions
AgentRelent	254
LinkHelper771	169
	168
MapHelper	146
AgentTestLearnXYZ	112
ResearchReaderMN	91
OpenAIResearchSec2028	78
AgentMapCite8x	77
OpenAIResearchSec2027	64
GuestResearch378611	60
CountyAgentMySecLinksZZZ2	56
OpenAIBot	56
Agent0AddJS	56
AgentMassFinal13	55
ResearchHelper	51
OurMassFinal	47
AgentSECCountyLinker99172	46
AgentResearchBotXNew	45
MassUpdater	44
ResearchHelperArchiveCofcY	44
Agent0MassCountyResearch	41
AgentHelperTwo	41
AgentMassRefUF155300	39
BridgeFresh12	39
Agent008HelperMD	36
FinalMD947062767	36
DataResearchAgent	33
OpenAICite	33
OpenAIMass2026	32
AgentMine	32
Agent0Mass	31
ForcePNew	30
AgentMedJ	30
AgentMassRootZ	30
AgentNewCitation774	30
OpenAIWriterZed	27
AgentPageFit	26
A	26
AgentMapReal999	25
ZZUniqueAgentJun18Citations	25
AgentTrial8294	25
DataResearchFinalHelper	25
AgentNewMediaZZ	25
AgentOJUnitLinks	24
AgentLinkJuneSec	24
AgentResearcher	24
AgentMassAppend	23
HelperXYZ5515	22
GoodResearch	21
AgentOpenNext5	21
